Sample ID,Plant,Subsp_ploidy,Year,Population,Latitude,Longitude,Ecoregion,Included in GC?,Included in LC-MS?,Included in climate and spatial analyses,Climate PERMANOVAs
IDT.3.5_2012,IDT.3.5,T_2n,2012,Hwy 95 hilltop,43.3366,-116.9641,Northern Basin and Range,Yes,Yes,Yes,Yes
IDT.3.5_2021,IDT.3.5,T_2n,2021,Hwy 95 hilltop,43.3366,-116.9641,Northern Basin and Range,Yes,Yes,Yes,Yes
IDT.3.9_2012,IDT.3.9,T_2n,2012,Hwy 95 hilltop,43.3366,-116.9641,Northern Basin and Range,Yes,Yes,Yes,Yes
IDT.3.9_2021,IDT.3.9,T_2n,2021,Hwy 95 hilltop,43.3366,-116.9641,Northern Basin and Range,Yes,No,Yes,No
IDV.2.7_2012,IDV.2.7,V_2n,2012,Dunnigan Cr,43.6776,-115.9738,Idaho Batholith,Yes,No,No,No
IDV.2.8_2012,IDV.2.8,V_2n,2012,Dunnigan Cr,43.6776,-115.9738,Idaho Batholith,Yes,No,No,No
IDV.3.4_2012,IDV.3.4,V_2n,2012,Stanley,44.259,-114.6402,Idaho Batholith,Yes,No,No,No
IDV.3.5_2012,IDV.3.5,V_2n,2012,Stanley,44.259,-114.6402,Idaho Batholith,Yes,No,No,No
IDV.3.7_2012,IDV.3.7,V_2n,2012,Stanley,44.259,-114.6402,Idaho Batholith,Yes,No,No,No
IDV.3.8_2012,IDV.3.8,V_2n,2012,Stanley,44.259,-114.6402,Idaho Batholith,Yes,No,No,No
IDV.5.1_2012,IDV.5.1,V_2n,2012,Pearl Rd,43.8385,-116.2559,Idaho Batholith,Yes,No,No,No
IDV.5.10_2012,IDV.5.10,V_2n,2012,Pearl Rd,43.8385,-116.2559,Idaho Batholith,Yes,No,No,No
IDV.5.2_2012,IDV.5.2,V_2n,2012,Pearl Rd,43.8385,-116.2559,Idaho Batholith,Yes,No,No,No
IDV.5.7_2012,IDV.5.7,V_2n,2012,Pearl Rd,43.8385,-116.2559,Idaho Batholith,Yes,No,No,No
IDV.5.8_2012,IDV.5.8,V_2n,2012,Pearl Rd,43.8385,-116.2559,Idaho Batholith,Yes,No,No,No
IDV.5.9_2012,IDV.5.9,V_2n,2012,Pearl Rd,43.8385,-116.2559,Idaho Batholith,Yes,No,No,No
IDW.1.2_2012,IDW.1.2,W_4n,2012,Old Oregon Trail Rd,43.0931,-115.6528,Snake River Plain,Yes,No,Yes,No
IDW.1.2_2021,IDW.1.2,W_4n,2021,Old Oregon Trail Rd,43.0931,-115.6528,Snake River Plain,Yes,Yes,Yes,No
