ROW,GARDEN_PLANT_ID,2020 STATUS,PLANT_CODE,PLANT_STATE,PLANT_SPECIES,PLANT_PROVENANCE,ORIGIN_PLANT_ID,PLOIDY,TYPE OF HERBIVORY,LEVEL OF HERBIVORY,TOTAL AREA (UNITS?),VOLUME (UNITS?),VOLUME (HIGH OR LOW),90% HEIGHT (UNITS?),EXTRACTION WEIGHT (G),GC VIAL WEIGHT (G),GC WET WEIGHT (G),GC DRY AND VIAL WEIGHT (G),DRY WEIGHT (G),DRY WEIGHT (MG),% DRY WEIGHT,DRY WEIGHT OF EXTRACTED SAMPLES,UM TP,mM TP PER GRAM DRY WEIGHT (mM TP/G DW),%N,%C,TOTAL AREA UNDER THE CURVE,TOTAL # OF MONOTERPENE PEAKS,TOTAL AUC >28MIN,TOTAL AUC >28 MIN/mg DW,TOTAL # PEAKS >28MIN,"1,8 CINEOLE AUC",UNKNOWN 3.2 AUC,STATUS LIVE OR DEAD,NDVI_COUNT,NDVI_AREA,NDVI_MEAN,NDVI_MIN,NDVI_MAX,NDVI_RANGE,NDVI_STD,NDVI_SUM,THERMORIGINAL_COUNT,THERMORIGINAL_AREA,THERMORIGINAL_MEAN,THERMORIGINAL_STD,THERMAL_AREA,THERMAL_MEAN,THERMAL_STD
15,392,A,ID'W.1.6,ID,W,1,6,4n,aphids,m,83.20280297,2659.6608,Low,31.966,0.05045,14.88997,0.05117,14.9144,0.02443,2.443,0.477428181,0.024086252,3470.215,144.0745136,3.43,44.32,48369.6,75,48369.6,19799.2632,75,3900.80957,1269.06921,.,50,0.522957645,0.083070802,0.008849557,0.176470593,0.167621035,0.047709528,4.153540106,27,0.546884525,15265.07407,395.4410501,0.546884525,15241.44444,405.7567537
15,394,A,ORT.1.6,OR,T,1,6,2n,aphids,l,842.9912257,51935.00343,High,61.608,0.04966,14.93888,0.05102,14.95802,0.01914,1.914,0.375147001,0.0186298,2707.04875,145.3074504,2.89,44.46,26218,71,26218,13698.01463,71,1836.9093,1091.39417,.,90,0.941323761,0.10387257,-0.0390625,0.204379559,0.243442059,0.062951438,9.348531275,45,0.911474208,15308.95556,360.6431265,0.911474208,14793.57778,485.7589932
15,401,D,CAV.1.7,CA,V,1,7,2n,.,h,78.2452379,1319.997163,Low,16.87,0.05158,14.89482,0.04946,14.91748,0.02266,2.266,0.458147998,0.023631274,12523.8375,529.9687875,3.04,46.07,11897.8,61,10533.24629,4648.387595,46,1153.5354,0,.,35,0.366070352,0.069492388,-0.034782607,0.176470593,0.2112532,0.074092602,2.432233568,18,0.364589683,15589.27778,70.29525474,0.364589683,15260.88889,210.8361367
15,403,A,OR'V.1.10,OR,V,1,10,4n,aphids,m,294.0759033,14594.39893,High,49.628,0.05006,14.79361,0.05175,14.81259,0.01898,1.898,0.366763285,0.01836017,2596.33875,141.4114762,2.33,45.73,26082.9,64,26082.91946,13742.31795,64,2803.5769,0,.,114,1.192343431,0.070099502,-0.004694836,0.163346618,0.168041454,0.038627904,7.991343225,62,1.255808909,15376.09677,199.3270703,1.255808909,15097.58065,285.3816657
15,405,A,UT'W.1.4,UT,W,1,4,4n,.,l,47.12504032,2144.660585,Low,45.51,0.0514,14.88493,0.05137,14.91153,0.0266,2.66,0.517811953,0.026615534,2894.77125,108.7624697,3.78,44.68,24985.9,72,24985.9,9393.195489,72,5125.18457,0,.,49,0.512498492,0.04861588,-0.013574661,0.181818187,0.195392848,0.049839051,2.382178099,29,0.58739449,14922.82759,273.4255328,0.58739449,15367.06897,226.4086831
15,409,D,UTT.3.3,UT,T,3,3,2n,aphids,l,761.729267,43936.54412,High,57.68,0.04962,14.81365,0.05143,14.83649,0.02284,2.284,0.444098775,0.022036181,4082.91,185.2821031,3.35,45.24,22431.3,62,22431.3,9821.059545,62,1884.74182,890.5202,.,66,0.690304091,0.064593864,-0.01904762,0.218884125,0.237931745,0.065015645,4.263195022,33,0.668414419,15087.78788,362.0628405,0.668414419,15198.27273,283.598764
15,413,D,ORT*V.2.4,OR,T,2,4,2n,aphids,l,105.136592,3003.016478,Low,28.563,0.05058,14.91983,0.05216,14.94402,0.02419,2.419,0.463765337,0.023457251,3156.31125,134.5558898,3.11,43.485,48984.9,72,48984.89485,20250.05988,72,3754.88672,497.15488,DEAD,35,0.366070352,0.027291231,0,0.061946902,0.061946902,0.016782834,0.955193102,18,0.364589683,14657.33333,311.3204851,0.364589683,15427.44444,76.171752
16,417,D,MT'W.3.7,MT,W,3,7,4n,.,h,409.8212857,7957.499904,High,19.417,0.05069,14.88006,0.05038,14.90201,0.02195,2.195,0.435688765,0.022085064,2603.83875,117.900442,3.73,43.46,18324.9,78,18299.90776,8337.087818,76,2892.17896,749.22052,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
16,418,A,WA'W.1.2,WA,W,1,2,4n,.,h,857.8315889,32935.58602,High,38.394,0.04952,14.87972,0.05004,14.89665,0.01693,1.693,0.338329337,0.016754069,2334.1425,139.3179493,4.02,44.79,33270.6,71,33265.34928,19648.75917,70,3032.70776,832.78503,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
16,421,D,UTV.1.7,UT,V,1,7,2n,.,n,331.9164461,14797.499,High,44.582,0.04912,14.81566,0.05114,14.83972,0.02406,2.406,0.470473211,0.023109644,2162.15,93.56050614,2.63,46.25,30512.8,64,30507.97047,12679.95448,63,3859.01587,0,.,79,0.826273079,0.057816778,-0.011111111,0.11210762,0.123218731,0.027243492,4.567525471,40,0.810199296,14954.6,331.3164499,0.810199296,15197.625,166.3728775
