ID,subspp,Season,Stts_QC,X_IDTM,Y_IDTM,AREA,UAS_Thermal,Variance_Plant_Temp,Tleaf,Photo,Trans,Cond,water_use_eff,PhiPS2
357,W4n,June,Living,2337983.016,1348750.468,0.52846045,-14.81398974,5.527642453,36.86448034,2.241417888,0.002167206,0.04450965,1034.243276,0.636
359,T2n,June,Living,2337981.728,1348748.961,1.33908419,-16.14561154,5.511830608,34.08083725,7.159236949,0.004291856,0.118608504,1668.098255,0.718
365,NA,June,NA,NA,NA,NA,NA,NA,32.7318484,10.81862967,0.007540287,0.255993101,1434.776972,0.722
370,T4n,June,Living,2337985.209,1348755.491,0.69546664,-15.33529383,7.440727287,34.67475255,6.137278518,0.008978643,0.247090924,683.5419056,0.73
379,V4n,June,Living,2337990.45,1348761.961,0.43923824,-14.51871792,8.300125957,33.48479971,18.28016353,0.014049383,0.499436634,1301.136393,0.697
380,NA,June,NA,NA,NA,NA,NA,NA,36.92596944,14.40204888,0.0133627,0.314868032,1077.779883,0.647
387,W4n,June,Living,2337994.921,1348767.613,0.44276991,-12.86598741,4.786085627,34.9147199,8.975345343,0.006408273,0.165045306,1400.587159,0.651
403,V4n,June,Recent,2337985.324,1348758.028,0.13755961,-12.80001975,5.178854723,33.6374232,20.80573073,0.013513062,0.472608715,1539.675517,0.759
407,T2n,June,Living,2337982.973,1348755.223,0.89858572,-10.15883606,4.172460156,36.651975,13.64740888,0.013216892,0.318504629,1032.573257,0.658
414,V4n,June,Living,2337979.099,1348750.223,0.39667571,-15.40270964,6.737895499,32.65291468,12.94701761,0.014331808,0.581245751,903.3764342,0.728
415,T2n,June,Living,2337977.84,1348751.197,0.95938749,-15.10991374,8.228847263,36.57207997,11.48130778,0.014009248,0.368521903,819.5520205,0.69
418,W4n,June,Living,2337979.498,1348753.384,1.30442522,-16.70449676,6.324572607,36.07052104,8.85771443,0.006572456,0.152465481,1347.702287,0.656
423,T4n,June,Living,2337982.336,1348756.927,1.98086637,-19.15051328,6.063833843,36.96862284,2.407442757,0.003858341,0.085232776,623.95806,0.686
435,W4n,June,Living,2337989.391,1348765.468,0.54071797,-14.93647999,4.635147388,36.20746485,8.697973367,0.006506343,0.158984708,1336.845193,0.662
438,W4n,June,Living,2337991.114,1348767.756,0.36648031,-11.9629576,4.193971722,34.98882548,11.03427959,0.013177843,0.374565204,837.335812,0.7
446,T2n,June,Living,2337989.157,1348767.855,1.73839534,-17.43946105,4.795336992,35.87908681,15.48445029,0.009859726,0.243148657,1570.474706,0.669
457,T2n,June,Living,2337982.955,1348760.034,0.35494881,-18.49503348,5.496663749,34.03464763,17.74210572,0.012444289,0.423904235,1425.722733,0.699
462,W4n,June,Living,2337980.159,1348756.571,0.16692805,-17.04851352,5.300923488,36.42452621,6.079088716,0.007677242,0.175054806,791.8324028,0.744
466,T2n,June,Living,2337977.937,1348753.642,1.27154222,-15.35299001,6.126745875,35.07226436,9.451411543,0.006334452,0.174086619,1492.064514,0.721
468,T4n,June,Living,2337976.635,1348752.174,0.90560605,-17.62400677,4.859320454,33.68848673,8.597645602,0.006660726,0.213430624,1290.797134,0.736
6,V4n,July,Living,2338006.902,1348751.167,1.00013888,-6.185788859,3.066867237,45.89681613,5.077777418,0.002660844,0.033933689,1908.333378,0.204129493
8,T2n,July,Living,2338005.907,1348749.519,0.83036558,-5.781836926,6.74014772,37.51570323,12.17783472,0.005032428,0.15093686,2419.872618,0.211573481
23,T4n,July,Living,2337997.381,1348739.03,0.79414819,-11.20675808,9.601859098,37.81642258,4.026428036,0.001431069,0.040123381,2813.580642,0.205028706
25,T2n,July,Living,2337996.145,1348737.628,0.58273318,-5.695339547,8.437849434,999.9,-0.416289043,0.000130401,0.002916958,-3192.376155,0.138807471
33,T2n,July,Living,2337995.468,1348739.359,0.41316835,-0.881893939,4.602844983,999.9,4.040580768,0.002177785,0.05475696,1855.362567,0.201184151
37,T2n,July,Living,2337997.792,1348742.177,1.45929085,-7.37434968,4.016899668,797.1394194,4.464542474,0.001489357,0.037499945,2997.630839,0.187596194
42,T2n,July,Living,2338000.592,1348745.666,2.21440279,-8.556490858,4.158399489,40.17064194,7.156337699,0.00345305,0.084596382,2072.4686,0.213124451
46,T4n,July,Living,2338003.049,1348748.445,0.83687338,-4.195938519,5.441508859,39.85877097,2.555809479,0.001232439,0.031600777,2073.781728,0.223234359
52,T2n,July,Living,2338006.42,1348752.84,0.61958899,-2.808100313,2.295364319,39.55553871,8.792366837,0.003109425,0.087341808,2827.650397,0.21725207
53,T4n,July,Living,2338007.076,1348753.387,0.18444164,5.436042105,5.014342342,39.23601613,8.767590332,0.004055423,0.137390768,2161.942252,0.202131551
54,T4n,July,Living,2338007.494,1348754.276,1.18687068,-10.1852473,6.399578493,39.68012903,3.654272317,0.002029009,0.06520114,1801.01336,0.163916343
56,W4n,July,Living,2338008.511,1348755.431,0.79353113,-11.43530562,2.683614956,41.53203871,0.705287883,0.000957976,0.023449917,736.2270902,0.089668135
57,W4n,July,Living,2338007.567,1348756.785,0.58841959,-15.84979484,4.935891152,521.5944758,2.665331266,0.00139858,0.036889038,1905.741013,0.051333105
59,T2n,July,Dead,2338006.277,1348755.504,1.07339615,-5.997459165,7.780971138,34.53362581,9.294689295,0.003514724,0.145949133,2644.500477,0.148409771
60,W4n,July,Living,2338005.858,1348754.721,0.41608664,-12.33386766,4.753545281,35.98224355,8.777969977,0.002237991,0.081249954,3922.254369,0.180130878
61,T2n,July,Living,2338005.33,1348753.912,1.26698081,-8.508915515,4.294732116,35.83117097,4.215866192,0.000957241,0.020365997,4404.184727,0.138355111
64,T4n,July,Living,2338003.418,1348751.65,0.5082323,-12.10456355,4.453847283,35.93561452,1.903068843,0.001706126,0.046098596,1115.432766,0.155470916
65,T2n,July,Living,2338002.894,1348750.851,0.74739244,-10.56274571,4.163620433,28.1509129,24.69208591,0.003760291,0.269412849,6566.535917,0.245957238
69,W4n,July,Living,2338000.616,1348748.161,0.79566842,-6.97209622,4.701558189,28.23289032,43.66865767,0.006823926,0.498757638,6399.345138,0.203579367
70,W4n,July,Living,2338000.108,1348747.468,0.7552581,-9.280392157,5.937620641,28.07180968,5.60328659,0.000711745,0.042274462,7872.604079,0.198720311
71,W4n,July,Living,2337999.551,1348746.758,1.20530686,-12.19623788,5.055003014,28.30695806,4.471936747,0.000287686,0.016204074,15544.50598,0.286181766
73,T2n,July,Living,2337998.243,1348745.442,1.38954723,-7.845408735,8.306136508,28.39505806,12.59852283,0.001884863,0.113805854,6684.052279,0.284424727
75,T2n,July,Living,2337997.194,1348743.817,1.06915355,-6.96116406,9.216574562,27.52871935,8.625991367,0.000680645,0.047482912,12673.26046,0.243571112
77,T2n,July,Living,2337995.966,1348742.407,0.91408999,-12.45312951,6.444524171,28.89815806,2.181783823,0.000540734,0.031526472,4034.855998,0.150159231
78,W4n,July,Living,2337995.426,1348741.742,0.33836965,-2.546482759,2.828267589,29.72213226,2.583651286,0.000160902,0.008269826,16057.29752,0.17342294
80,W4n,July,Living,2337994.334,1348740.332,1.12355148,-7.114011065,5.929578242,29.26183226,7.729281921,0.000642152,0.036533928,12036.53017,0.242139579
82,T2n,July,Living,2337993.181,1348738.9,0.79568205,-3.8588927,3.214808429,29.32462581,1.868055263,-6.70E-05,-0.003777715,-27881.42184,0.174804839
85,T2n,July,Living,2337991.135,1348738.913,1.72035271,-15.60320145,4.966550645,29.0132871,13.01411019,0.002099263,0.139976726,6199.371013,0.238573655
86,T4n,July,Living,2337991.84,1348739.546,0.57395635,-13.30270564,4.212795794,28.66997419,9.646584535,0.00079956,0.052733102,12064.86635,0.245504112
87,T4n,July,Living,2337992.175,1348740.06,0.68099233,-8.577447052,7.816292627,30.29652258,-0.093642965,0.000528772,0.026450865,-177.0951658,-0.311905925
88,T2n,July,Living,2337992.622,1348740.733,1.05089165,-11.99558346,7.2230667,25.09876251,4.130754821,0.001144766,NA,3608.383566,NA
89,T4n,July,Living,2337993.236,1348741.31,0.96364834,-7.458723748,6.142859138,25.22661591,-0.204497775,-0.000145509,NA,1405.396058,NA
90,T2n,July,Living,2337993.763,1348742.074,0.28070273,-9.107722222,3.536702784,25.48465538,1.364643289,0.000633387,NA,2154.517363,NA
92,T4n,July,Living,2337995.039,1348743.768,0.41149301,-15.49992424,6.998923545,25.73396206,3.195573807,0.000828131,NA,3858.778149,NA
93,W4n,July,Living,2337995.42,1348744.352,0.85407417,-7.343060109,9.420886757,25.61676788,2.733659324,0.000854834,NA,3197.883243,NA
95,T4n,July,Living,2337996.657,1348745.644,0.57023017,-5.011346548,6.378306822,25.75426674,4.259509525,0.001901624,NA,2239.932566,NA
99,T4n,July,Living,2337999.132,1348748.486,0.5555888,-3.085654008,2.282564409,25.45584679,2.245795163,0.000482194,NA,4657.451488,NA
106,T2n,July,Living,2338002.887,1348753.404,0.93242948,-12.25258239,5.14802364,24.19816589,3.731750346,0.000987347,NA,3779.573287,NA
107,T2n,July,Living,2338003.372,1348754.127,0.8274945,-6.560206282,6.878640322,24.41758728,4.262286124,0.001113878,NA,3826.52869,NA
110,T2n,July,Living,2338005.13,1348756.262,0.53753863,-9.885119306,10.94127182,24.60422516,0.753456275,0.000715178,NA,1053.522724,NA
114,T2n,July,Living,2338004.646,1348757.878,0.77852526,-11.00606786,11.33118068,29.31432152,4.591744219,0.001332174,NA,3446.805161,NA
116,T2n,July,Living,2338003.415,1348756.609,1.71525307,-13.30236627,8.558117694,516.0715,6.488519129,0.001175593,0.034869599,5519.358425,0.287019357
122,NA,July,NA,NA,NA,NA,NA,NA,34.58765,4.929715893,0.000617942,0.017454752,7977.635268,0.284659122
124,T2n,July,Living,2337998.785,1348750.826,1.64312086,-9.294841757,8.819315323,35.11325,6.23868482,0.000744797,0.025566521,8376.356,0.222547902
127,W4n,July,Living,2337997.196,1348748.684,0.79505149,-8.656035329,8.582763931,35.2748,1.764665971,-0.000433726,-0.011631677,-4068.619292,0.255251043
133,T4n,July,Living,2337993.813,1348744.402,0.91748177,-7.529945032,8.445817617,35.33655,5.297106726,0.001194215,0.033135444,4435.639082,0.247972095
135,NA,July,NA,NA,NA,NA,NA,NA,46.08223333,2.955834899,0.001134327,0.030216956,2605.804939,0.126443822
136,W4n,July,Living,2337992.13,1348742.306,0.47763839,-13.80947111,6.737449798,36.8986,2.251428437,8.59E-05,0.00312239,26209.87703,0.200849825
142,T2n,July,Living,2337989.151,1348741.19,0.40796494,-13.93244275,7.472653249,37.6298,0.420536092,-0.001678506,-0.035319954,-250.5419057,0.132592644
151,T2n,July,Living,2337994.302,1348747.512,0.94491595,-18.58081515,6.595323211,36.05505,9.966462259,0.002105588,0.056822218,4733.339219,0.24907345
152,T4n,July,Living,2337994.962,1348748.122,1.17351155,-12.17238538,11.1053273,35.7726,3.55946405,0.000791123,0.02067717,4499.25492,0.28998088
153,T2n,July,Living,2337995.531,1348748.998,0.38034308,-3.712131148,9.585871222,35.6244,2.231213614,0.000666446,0.016484528,3347.928585,0.237566906
158,T4n,July,Living,2337998.5,1348752.543,2.33077198,-15.65139519,11.81245383,38.002,1.090569027,-0.000342933,-0.008396354,-3180.122727,0.091073118
159,T4n,July,Living,2337998.984,1348753.203,0.54934629,-9.622995032,11.31475209,38.81603333,3.134290414,0.001677638,0.038069762,1868.275763,0.188406567
161,T2n,July,Living,2337999.946,1348754.494,0.8775527,-11.77315626,10.69622882,38.05675,5.228191249,0.001586798,0.039010882,3294.805797,0.331328496
162,T2n,July,Living,2338000.684,1348755.47,1.12337343,-11.54137764,7.177481133,37.5227,0.561329255,0.000170844,0.003330148,3285.624634,0.204833264
164,T4n,July,Living,2338001.804,1348756.871,0.86168264,-11.94608303,8.595647197,37.87785,3.021092716,-0.000506501,-0.011876809,-5964.63327,0.196654413
169,T4n,July,Living,2338002.837,1348760.669,1.19506415,-7.999085864,6.158333944,999.9,2.42865561,0.00124166,0.02726739,1955.974752,0.130964067
170,T2n,July,Living,2338002.18,1348759.916,1.35178975,-13.20796552,7.273895325,35.207,8.535015803,0.002897493,0.067272042,2945.655366,0.30294364
173,T2n,July,Living,2338000.574,1348757.772,1.49079925,-14.66434965,13.96704761,167.161,4.468345864,0.001527306,0.032085076,2925.638912,0.309058988
178,T2n,July,Living,2337997.753,1348754.273,0.54107219,-0.005103943,4.842522087,114.829,4.486682124,0.001130107,0.024011437,3970.13922,0.245468666
184,T2n,July,Living,2337994.444,1348750.012,0.46560656,-13.36917155,9.177119901,999.9,5.222447311,0.001421825,0.03317224,3673.059139,0.234343205
187,T2n,July,Living,2337992.507,1348747.822,0.57823414,-8.344989913,12.94562745,33.8271,7.965489171,0.00191226,0.047982978,4165.484385,0.28232677
189,W4n,July,Living,2337991.389,1348746.342,0.46118901,-8.615441548,9.356893731,34.4294,7.948705845,0.001925352,0.046443465,4128.442926,0.294053489
190,T4n,July,Living,2337990.939,1348745.704,0.75561584,-11.80163055,9.363227815,999.9,5.935432639,0.001428283,0.031793912,4155.641871,0.238762048
194,T2n,July,Living,2337988.673,1348742.961,0.19600261,1.213333333,0.052266667,36.7638,1.725767199,0.000525767,0.011496661,3282.380216,0.2537373
195,T2n,July,Living,2337988.139,1348742.302,1.37906637,-9.810680923,8.186447171,999.9,2.716244712,0.000500437,0.011414308,5427.745574,0.259410555
197,T2n,July,Living,2337985.746,1348741.692,2.37058237,-14.56863621,6.737285701,999.9,4.491823361,0.000863237,0.020446836,5203.46482,0.202835638
198,T2n,July,Living,2337986.442,1348742.527,0.647658,-14.10419104,7.898111832,999.9,11.46860765,0.002205266,0.054858865,5200.555239,0.350174277
199,T2n,July,Living,2337987.274,1348743.553,0.35043458,-4.628628319,7.365053259,999.9,8.808713378,0.001541098,0.036977854,5715.868412,0.253435107
200,T2n,July,Living,2337987.721,1348744.152,0.91848572,-11.08484184,5.214844134,999.9,8.52217768,0.00162196,0.03895421,5254.246517,0.251105042
201,T4n,July,Living,2337988.485,1348745.085,1.19239537,-5.513840131,8.216470874,999.9,1.594968931,-0.000925153,-0.020548802,-1724.005576,0.190577726
