"","RT001","C001","RT002","C002","RT003","C003","RT004","C004","RT005","C005","RT006","C006","RT007","C007","RT008","C008","RT009","C009","RT010","C010","RT011","C011","RT012","C012","RT013","C013","RT014","C014","RT015","C015","RT016","C016","RT017","C017","RT018","C018","RT019","C019","RT020","C020","RT021","C021","RT022","C022","RT023","C023","RT024","C024","RT025","C025","RT026","C026","RT027","C027","RT028","C028","RT029","C029","RT030","C030","RT031","C031","RT032","C032","RT033","C033","RT034","C034","RT035","C035","RT036","C036","RT037","C037","RT038","C038","RT039","C039","RT040","C040","RT041","C041","RT042","C042","RT043","C043","RT044","C044","RT045","C045","RT046","C046","RT047","C047","RT048","C048","RT049","C049","RT050","C050","RT051","C051","RT052","C052","RT053","C053","RT054","C054","RT055","C055","RT056","C056","RT057","C057","RT058","C058","RT059","C059","RT060","C060","RT061","C061","RT062","C062","RT063","C063","RT064","C064","RT065","C065","RT066","C066","RT067","C067","RT068","C068","RT069","C069","RT070","C070","RT071","C071","RT072","C072","RT073","C073","RT074","C074"
"NVV.2.9_2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.122,546.501,NA,NA,NA,NA,13.7484,729.979,NA,NA,NA,NA,14.7281,666.245,NA,NA,NA,NA,NA,NA,16.3639,159.084,NA,NA,16.9966,4292.028,NA,NA,NA,NA,NA,NA,17.9349,254.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7825,7885.747,NA,NA,NA,NA,20.0597,1047.257,NA,NA,NA,NA,NA,NA,21.0658,2870.647,NA,NA,21.4641,1457.842,NA,NA,NA,NA,21.6759,409.695,21.9088,429.706,NA,NA,NA,NA,NA,NA,NA,NA,23.2666,70.885,NA,NA,NA,NA,NA,NA,23.747,1035.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0434,90.255,NA,NA,NA,NA,NA,NA,25.9639,348.431,NA,NA,NA,NA,26.6111,280.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTW.2.6_2012",NA,NA,3.1595,633.061,3.6794,3086.591,NA,NA,NA,NA,7.3044,545.142,NA,NA,NA,NA,NA,NA,12.1577,2281.717,NA,NA,13.1792,197.13,13.773,977.469,NA,NA,NA,NA,14.9112,5502.897,NA,NA,NA,NA,15.8093,272.704,16.3839,181.094,NA,NA,17.0235,4746.065,NA,NA,NA,NA,17.7925,2232.258,17.9612,1101.74,NA,NA,NA,NA,18.567,442.108,18.6462,366.913,18.8771,128.906,19.3489,111.05,NA,NA,19.9509,117.84,20.0373,173.429,NA,NA,NA,NA,20.8838,2117.48,21.1151,5493.289,21.3078,510.066,21.4595,340.467,NA,NA,21.6129,120.522,21.672,375.267,21.9254,389.993,NA,NA,22.6745,151.486,22.9861,106.909,23.1248,411.895,23.2804,114.33,23.4434,295.598,NA,NA,NA,NA,23.7412,146.745,NA,NA,NA,NA,24.0119,125.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3967,70.696,NA,NA,25.9725,380.452,NA,NA,NA,NA,26.6184,148.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.2.1_2012",NA,NA,3.1929,6653.789,3.6709,2983.99,NA,NA,NA,NA,7.3232,829.473,9.9414,350.568,NA,NA,NA,NA,12.1499,1366.966,NA,NA,13.184,424.308,13.784,1771.555,NA,NA,NA,NA,14.915,5550.375,NA,NA,NA,NA,15.8285,204.323,16.388,129.41,NA,NA,17.0112,3446.385,NA,NA,NA,NA,17.8125,2933.658,NA,NA,NA,NA,NA,NA,18.5751,286.355,18.6574,416.499,18.9123,458.646,19.3624,266.31,NA,NA,NA,NA,20.0683,176.661,NA,NA,NA,NA,20.9448,4482.632,21.1677,9002.069,21.3074,358.505,21.48,296.714,21.5558,181.473,NA,NA,21.6977,1810.721,21.9375,309.302,NA,NA,NA,NA,22.9899,100.438,23.1726,225.58,23.2933,451.633,23.4767,1927.54,23.6344,53.451,NA,NA,23.7594,678.044,NA,NA,23.9175,86.873,24.027,793.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4968,325.771,NA,NA,25.9843,933.609,NA,NA,26.497,1064.044,26.63,494.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZT.1.3_2012",NA,NA,3.1123,399.753,3.689,1596.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1225,313.48,NA,NA,NA,NA,13.7575,1370.219,14.1737,2313.761,NA,NA,14.8404,1088.011,NA,NA,NA,NA,NA,NA,16.3642,145.96,NA,NA,16.9997,4114.135,NA,NA,NA,NA,17.7432,2054.18,17.9371,371.383,NA,NA,18.4012,962.757,18.5408,95.651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8297,439.193,21.0959,5160.686,21.2815,193.627,21.4246,127.353,NA,NA,NA,NA,21.6583,228.307,21.9061,319.239,NA,NA,NA,NA,NA,NA,23.1147,319.773,NA,NA,23.4288,52.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3889,115.112,NA,NA,25.9619,211.287,NA,NA,26.4759,123.796,26.6145,406.217,26.7447,123.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.8_2012",NA,NA,3.1337,487.048,3.7055,1527.64,NA,NA,NA,NA,7.3073,508.691,NA,NA,NA,NA,NA,NA,12.1245,272.705,NA,NA,NA,NA,13.7657,1459.202,NA,NA,NA,NA,14.8417,1650.501,NA,NA,NA,NA,15.7472,147.026,NA,NA,NA,NA,16.9415,393.546,NA,NA,NA,NA,17.744,1038.409,17.9282,537.053,NA,NA,18.5338,119.322,18.6135,106.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8488,840.887,21.1143,6587.942,21.397,172.1,NA,NA,21.5199,121.581,21.6507,272.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4293,106.679,NA,NA,NA,NA,23.73,104.204,NA,NA,NA,NA,24.0387,98.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3929,219.17,NA,NA,25.9728,870.176,26.3419,69.411,26.4838,368.119,26.6254,1122.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTW.3.4_2012",NA,NA,3.0629,528.136,3.6843,1616.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1237,766.749,NA,NA,NA,NA,13.7473,499.752,14.093,481.176,NA,NA,14.8762,4077.057,NA,NA,NA,NA,NA,NA,16.3643,119.99,NA,NA,17.0049,4841.937,NA,NA,NA,NA,17.7135,303.699,17.934,1008.181,NA,NA,18.3685,337.374,18.6135,142.151,NA,NA,18.8442,205.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8277,1258.377,21.0321,1789.649,NA,NA,21.423,265.713,NA,NA,NA,NA,21.6563,577.026,21.9033,406.946,NA,NA,NA,NA,NA,NA,23.1313,335.284,23.2673,95.488,23.429,199.636,NA,NA,NA,NA,NA,NA,23.7246,153.415,NA,NA,24.0347,54.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.2.9_2012",NA,NA,NA,NA,3.6807,1800.013,NA,NA,NA,NA,7.3177,502.215,NA,NA,NA,NA,NA,NA,12.1224,777.207,NA,NA,NA,NA,13.7519,1012.763,NA,NA,NA,NA,14.9073,6790.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9651,1983.042,NA,NA,NA,NA,17.7269,278.12,17.9316,1002.364,NA,NA,18.5316,131.819,18.6119,137.744,NA,NA,NA,NA,19.3281,111.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8784,2781.268,21.1058,6075.184,NA,NA,21.4448,300.684,NA,NA,21.5991,76.232,NA,NA,21.9038,218.42,NA,NA,NA,NA,22.9761,96.435,23.1338,539.445,23.2702,152.421,23.4342,389.138,23.6115,87.088,NA,NA,23.73,244.142,NA,NA,NA,NA,24.0006,117.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4786,110.071,NA,NA,25.9619,199.695,NA,NA,26.474,158.79,26.6089,109.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTT.1.6_2012",NA,NA,3.1626,329.2,3.6944,3593.697,NA,NA,NA,NA,7.3121,1137.169,9.9165,388.485,NA,NA,NA,NA,12.1321,917.579,NA,NA,NA,NA,NA,NA,14.1296,1758.527,NA,NA,14.8771,3494.37,NA,NA,NA,NA,15.7777,465.786,NA,NA,NA,NA,16.987,181.721,NA,NA,NA,NA,17.8088,4906.051,17.9823,2282.346,NA,NA,18.3934,675.968,18.5521,236.898,18.631,218.837,18.8642,509.472,19.3378,90.481,NA,NA,20.0222,202.483,NA,NA,NA,NA,20.5607,237.727,20.8554,2374.782,NA,NA,21.304,948.566,21.4438,469.145,NA,NA,NA,NA,21.7139,3830.164,NA,NA,NA,NA,NA,NA,22.9776,117.139,23.1538,194.027,23.2749,189.193,23.4463,760.491,23.6182,55.746,23.6547,50.122,23.7404,460.728,NA,NA,NA,NA,24.0077,219.921,NA,NA,NA,NA,NA,NA,NA,NA,25.2908,164.264,25.3921,82.239,NA,NA,25.9666,223.588,NA,NA,26.4797,95.464,26.6145,103.895,26.7461,212.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAVW.3.5_2012",NA,NA,3.1575,364.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.119,666.102,NA,NA,13.1854,3094.079,13.7464,724.977,NA,NA,NA,NA,14.8343,1799.885,NA,NA,15.3811,137.574,NA,NA,16.3567,171.521,NA,NA,17.0198,6574.377,NA,NA,NA,NA,NA,NA,17.9226,546.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9071,101.843,21.0416,2387.52,NA,NA,21.5159,619.743,NA,NA,NA,NA,21.6718,203.91,21.9057,539.668,22.2446,214.121,NA,NA,NA,NA,23.1089,500.198,23.2648,112.758,23.4929,94.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0606,103.639,NA,NA,25.3836,77.399,NA,NA,25.9608,441.791,NA,NA,26.4762,136.802,26.6059,142.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.2.9_2012",NA,NA,3.1996,4013.794,3.6698,4640.29,NA,NA,NA,NA,7.3099,634.709,9.9174,293.353,11.6237,500.699,NA,NA,12.1214,1047.029,NA,NA,NA,NA,13.7491,996.908,NA,NA,NA,NA,14.8229,706.323,NA,NA,NA,NA,15.7917,593.866,NA,NA,NA,NA,16.9604,1700.55,NA,NA,NA,NA,17.7807,3197.175,17.9357,205.747,NA,NA,NA,NA,18.551,726.751,18.631,578.279,18.8609,301.51,NA,NA,NA,NA,19.9371,140.317,20.0105,185.925,NA,NA,NA,NA,20.8144,229.689,21.1918,86.118,21.2899,648.167,21.4485,145.221,21.5164,73.333,NA,NA,21.657,684.827,21.9061,191.299,22.3334,135.378,NA,NA,NA,NA,23.1118,576.882,NA,NA,23.4306,152.653,NA,NA,23.6519,170.29,23.7318,162.661,NA,NA,NA,NA,24.0393,303.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9649,580.257,NA,NA,26.4959,101.36,26.6088,118.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORV.1.3_2012",NA,NA,3.1592,645.306,3.6758,1001.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1475,1483.017,NA,NA,13.179,309.665,13.7861,2256.239,NA,NA,NA,NA,14.9117,5851.992,NA,NA,NA,NA,15.7845,155.749,NA,NA,NA,NA,16.9615,422.614,NA,NA,NA,NA,17.752,626.762,17.9478,799.999,NA,NA,NA,NA,18.5583,321.968,18.6383,309.907,18.8805,193.373,19.3473,108.682,NA,NA,NA,NA,20.0487,169.999,NA,NA,NA,NA,20.8905,1806.906,21.1419,7980.465,NA,NA,21.4492,368.3,21.5392,102.048,21.6062,64.199,21.679,1136.424,21.9211,75.952,NA,NA,NA,NA,NA,NA,23.1242,334.109,23.2786,75.012,23.4415,198.772,NA,NA,NA,NA,23.7409,159.036,NA,NA,NA,NA,24.0486,86.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3983,135.096,NA,NA,25.9715,251.224,NA,NA,26.4858,89.003,26.6213,324.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDV.5.1_2012",NA,NA,3.1243,640.03,3.6837,982.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1432,630.767,NA,NA,13.1874,305.323,13.787,1587.405,14.1278,408.533,NA,NA,14.89,3409.616,NA,NA,NA,NA,NA,NA,16.3378,122.22,NA,NA,16.9619,153.006,NA,NA,NA,NA,17.7292,980.656,17.9677,1420.273,NA,NA,18.3989,553.21,18.5609,207.04,18.6415,195.498,NA,NA,NA,NA,NA,NA,NA,NA,20.0442,250.496,NA,NA,NA,NA,20.8043,364.639,21.2336,86.932,NA,NA,21.4297,180.478,NA,NA,NA,NA,21.6812,445.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2815,79.811,23.4448,244.378,NA,NA,NA,NA,23.7412,100.429,NA,NA,NA,NA,24.0127,50.947,NA,NA,NA,NA,NA,NA,25.0755,135.551,NA,NA,NA,NA,NA,NA,25.9776,474.457,NA,NA,NA,NA,26.6236,270.008,26.7549,227.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORV.1.8_2012",NA,NA,3.1006,321.604,3.6888,1808.072,NA,NA,NA,NA,7.3299,596.677,9.9427,290.353,NA,NA,NA,NA,12.1544,1210.724,NA,NA,13.1913,455.517,13.8009,2734.274,14.1371,692.692,NA,NA,14.8894,3258.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9863,1658.795,NA,NA,NA,NA,17.7672,2005.001,17.9926,2311.697,NA,NA,18.426,1110.826,18.5732,193.837,18.6514,166.876,NA,NA,19.3567,97.569,NA,NA,NA,NA,20.0625,185.229,NA,NA,NA,NA,20.9001,1558.06,21.1574,8474.887,NA,NA,21.4285,210.399,21.546,196.386,NA,NA,21.6774,308.979,21.9213,114.881,22.3558,118.505,NA,NA,NA,NA,23.159,112.175,23.2857,93.077,23.4495,332.261,NA,NA,NA,NA,23.7446,146.257,NA,NA,NA,NA,24.017,98.271,NA,NA,NA,NA,NA,NA,25.075,71.393,NA,NA,25.4024,76.562,NA,NA,25.9805,538.938,NA,NA,26.4891,151.639,26.6262,256.605,26.7574,355.642,26.916,131.026,NA,NA,NA,NA,NA,NA,NA,NA
"UTWV.2.1_2012",NA,NA,3.0516,754.512,3.6837,1580.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1547,168.245,13.7435,773.637,NA,NA,NA,NA,14.8318,1593.223,NA,NA,NA,NA,NA,NA,16.3556,134.787,NA,NA,17.0003,4987.985,NA,NA,NA,NA,17.7234,375.913,17.9225,340.578,NA,NA,18.5242,144.652,18.6048,128.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8123,466.822,21.0743,4244.043,NA,NA,21.4419,111.583,NA,NA,21.6519,269.743,NA,NA,21.9068,536.798,NA,NA,NA,NA,NA,NA,23.1099,478.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0343,163.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3852,191.805,NA,NA,25.9623,616.81,NA,NA,NA,NA,26.6082,272.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.1.6_2012",NA,NA,3.2425,304.31,3.6748,3359.454,NA,NA,NA,NA,7.2891,605.935,9.908,269.343,NA,NA,NA,NA,12.1207,1077.184,NA,NA,NA,NA,13.7377,250.058,NA,NA,NA,NA,14.8438,2266.901,NA,NA,NA,NA,15.7715,285.779,NA,NA,NA,NA,16.9584,1943.918,NA,NA,NA,NA,17.7496,1597.903,17.9271,776.844,NA,NA,18.5303,199.035,18.6088,151.86,NA,NA,18.853,261.251,NA,NA,NA,NA,20.0085,125.341,NA,NA,NA,NA,NA,NA,20.8193,882.718,21.2797,398.304,NA,NA,21.439,138.081,NA,NA,NA,NA,21.6611,935.948,21.9034,189.564,NA,NA,NA,NA,NA,NA,23.1156,685.723,23.2657,110.572,23.4271,149.802,NA,NA,NA,NA,NA,NA,23.7246,81.857,NA,NA,23.9979,55.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3861,93.717,NA,NA,25.958,112.423,NA,NA,NA,NA,26.6076,129.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.1.6_2012",NA,NA,3.1578,706.2,3.6696,3216.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1379,1497.477,NA,NA,NA,NA,13.7577,677.282,NA,NA,NA,NA,14.8302,566.043,NA,NA,NA,NA,15.8149,1400.937,NA,NA,NA,NA,16.9767,1980.194,NA,NA,NA,NA,17.7487,941.355,NA,NA,NA,NA,NA,NA,18.5549,483.03,18.6319,336.593,18.8739,400.125,NA,NA,NA,NA,19.9379,211.404,20.0222,227.684,NA,NA,NA,NA,20.8161,149.345,21.0639,2845.648,21.3228,1824.226,21.4567,427.566,NA,NA,NA,NA,21.6891,2035.083,21.9233,290.682,NA,NA,NA,NA,NA,NA,23.1471,213.531,NA,NA,23.4373,99.354,23.5697,58.571,23.6573,164.683,23.7371,95.833,NA,NA,NA,NA,24.0091,60.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9674,159.574,NA,NA,NA,NA,26.615,98.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDV.5.9_2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.163,266.344,13.7518,364.149,14.1176,2213.034,14.5086,148.988,NA,NA,NA,NA,NA,NA,15.7813,379.123,NA,NA,NA,NA,16.9365,254.873,NA,NA,NA,NA,17.7364,1928.288,NA,NA,NA,NA,18.408,1319.628,NA,NA,NA,NA,18.884,574.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5716,188.258,NA,NA,21.034,1521.061,NA,NA,NA,NA,NA,NA,NA,NA,21.7803,13048.754,NA,NA,NA,NA,NA,NA,NA,NA,23.1037,185.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9571,97.353,NA,NA,26.5579,195.187,26.6151,414.883,26.752,517.156,26.9085,204.688,NA,NA,NA,NA,NA,NA,NA,NA
"UTT.1.9_2012",NA,NA,3.2309,1620.614,3.6801,7235.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.956,286.656,12.1266,327.132,NA,NA,NA,NA,13.7612,827.285,NA,NA,NA,NA,14.8343,392.701,NA,NA,NA,NA,15.8228,1034.183,NA,NA,16.6572,274.784,16.9927,2902.019,NA,NA,NA,NA,17.7712,1762.526,17.9478,163.937,NA,NA,NA,NA,18.5577,488.18,18.6385,402.125,18.8889,371.764,NA,NA,NA,NA,19.9533,114.846,20.0279,245.681,NA,NA,20.5674,233.745,20.8249,172.912,21.0859,3507.737,21.313,1070.926,21.4737,180.532,21.5317,124.198,NA,NA,21.7163,3734.547,21.9394,275.971,NA,NA,NA,NA,22.9815,87.66,23.1204,729.397,23.2757,82.611,23.4397,123.662,23.5711,103.392,23.6655,295.976,23.7381,152.88,NA,NA,NA,NA,24.0458,67.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.395,170.173,NA,NA,NA,NA,NA,NA,NA,NA,26.615,128.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.1.9_2012",NA,NA,3.1802,2717.448,3.6676,3531.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1322,728.862,NA,NA,NA,NA,13.7579,752.356,NA,NA,NA,NA,14.8315,642.15,NA,NA,NA,NA,15.8154,1205.229,NA,NA,NA,NA,16.9745,1867.424,NA,NA,NA,NA,17.738,384.223,NA,NA,NA,NA,NA,NA,18.562,726.247,18.6416,552.208,18.8752,290.107,NA,NA,NA,NA,19.946,193.138,20.0228,219.681,NA,NA,NA,NA,20.8271,221.801,21.0972,4608.996,21.2998,717.364,21.4576,271.968,21.5268,97.94,NA,NA,21.6812,1317.079,21.9213,265.869,NA,NA,NA,NA,NA,NA,23.1453,430.651,NA,NA,NA,NA,NA,NA,23.6623,265.889,23.7347,58.121,NA,NA,NA,NA,24.045,115.182,24.1761,79.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9694,355.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.3.5_2012",NA,NA,3.0453,290.918,3.6741,3028.827,NA,NA,NA,NA,7.3138,784.65,9.9243,258.479,NA,NA,NA,NA,12.1416,1148.948,NA,NA,13.173,180.947,13.7627,440.78,NA,NA,NA,NA,14.8835,3436.386,NA,NA,NA,NA,15.8139,782.993,NA,NA,NA,NA,16.9831,1944.759,NA,NA,NA,NA,17.8007,3008.677,17.961,968.385,NA,NA,NA,NA,18.5608,323.232,18.6412,322.874,18.9178,1182.131,19.3498,85.39,NA,NA,NA,NA,NA,NA,NA,NA,20.6004,179.536,20.86,1256.01,21.0934,3762.332,21.3065,512.04,21.4889,315.582,NA,NA,NA,NA,21.7529,6929.535,21.965,197.055,NA,NA,22.6705,84.16,NA,NA,23.153,137.927,23.2853,231.061,23.4516,594.52,NA,NA,NA,NA,23.7455,255.4,NA,NA,NA,NA,24.0136,135.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3988,58.586,NA,NA,25.9713,159.507,NA,NA,NA,NA,26.6193,121.486,NA,NA,NA,NA,27.0369,77.114,NA,NA,NA,NA,NA,NA
"NMT.2.4_2012",NA,NA,3.1249,580.138,3.6689,2028.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.111,361.491,NA,NA,NA,NA,13.7394,785.957,NA,NA,NA,NA,14.858,3265.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9926,4273.656,NA,NA,NA,NA,17.7256,465.324,17.9258,256.325,NA,NA,18.528,198.117,18.6076,160.535,NA,NA,NA,NA,19.321,82.74,NA,NA,NA,NA,NA,NA,NA,NA,20.6285,138.574,20.8376,1179.191,21.2789,306.987,NA,NA,21.4398,187.746,NA,NA,21.6552,151.194,NA,NA,21.9028,349.171,NA,NA,NA,NA,NA,NA,23.1085,598.792,23.2649,111.021,23.4248,89.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0347,72.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3891,345.767,NA,NA,25.9625,382.58,NA,NA,NA,NA,26.6104,289.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NVV.2.5_2012",NA,NA,3.2393,1055.939,3.6967,2172.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1488,2566.353,NA,NA,13.1704,714.876,13.7637,1499.555,NA,NA,NA,NA,14.8623,3127.426,NA,NA,NA,NA,NA,NA,16.3732,280.064,NA,NA,17.0621,10286.657,NA,NA,NA,NA,17.7397,359.154,17.9606,2432.908,NA,NA,18.3289,113.225,18.6199,148.609,NA,NA,19.0185,126.623,19.3355,100.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8628,1490.34,21.1144,6723.375,NA,NA,21.4404,136.353,21.529,318.736,NA,NA,21.6713,499.598,21.917,790.357,22.3452,83.542,NA,NA,NA,NA,23.1369,212.301,23.2704,106.219,23.4324,216.386,NA,NA,NA,NA,23.7336,172.36,NA,NA,NA,NA,24.0373,85.787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3904,172.001,NA,NA,25.974,1087.165,26.3407,63.871,26.4796,152.863,26.6188,623.466,26.7368,68.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.1.1_2012",NA,NA,3.1595,786.088,3.6674,3514.869,NA,NA,NA,NA,7.2684,599.378,NA,NA,11.5733,595.296,NA,NA,12.1107,699.505,NA,NA,NA,NA,13.7332,182.146,NA,NA,NA,NA,14.8124,473.392,NA,NA,NA,NA,15.7624,466.669,NA,NA,NA,NA,16.973,114.437,NA,NA,NA,NA,17.7547,2091.571,NA,NA,NA,NA,18.5426,681.142,18.6187,465.071,NA,NA,18.8389,180.829,NA,NA,19.903,188.898,19.9973,133.625,NA,NA,NA,NA,NA,NA,20.7913,117.959,21.293,1089.994,NA,NA,21.4239,173.736,NA,NA,21.6421,225.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1139,535.824,23.2625,61.11,23.4263,187.674,NA,NA,23.6429,149.575,NA,NA,23.725,135.104,NA,NA,23.9951,82.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9566,110.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDV.3.8_2012",NA,NA,3.1335,504.766,3.682,1362.941,4.8741,149.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1501,1516.965,NA,NA,13.1843,224.486,13.7845,1626.795,NA,NA,NA,NA,14.8489,664.406,NA,NA,15.4087,155.443,15.8008,261.778,16.3858,160.001,NA,NA,17.035,5573.295,NA,NA,NA,NA,17.8337,5132.827,17.9608,401.856,NA,NA,NA,NA,18.5703,424.784,18.652,454.485,18.8674,224.498,19.441,181.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8403,188.75,21.1141,5066.406,21.2976,126.154,21.4301,253.231,21.5936,97.82,NA,NA,21.6748,436.565,21.9162,195.945,22.2415,186.298,NA,NA,NA,NA,NA,NA,NA,NA,23.4418,145.289,NA,NA,NA,NA,23.7441,143.537,NA,NA,23.912,228.276,24.0158,107.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4932,172.646,NA,NA,25.9764,356.181,NA,NA,26.4852,199.356,26.6183,135.84,NA,NA,NA,NA,NA,NA,NA,NA,27.4656,161.611,NA,NA
