"C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073","C074"
NA,624.541,3456,NA,NA,631.778,NA,NA,NA,1750.641,NA,NA,NA,NA,NA,983.024,NA,NA,255.284,NA,NA,315.178,NA,NA,5018.684,1071.03,NA,361.185,215.963,244.141,173.507,NA,NA,151.741,NA,NA,NA,914.354,NA,887.105,201.384,NA,106.515,432.864,94.113,NA,NA,NA,397.596,96.506,388.415,NA,155.441,161.793,NA,NA,80.173,NA,NA,NA,NA,NA,NA,NA,763.608,NA,NA,156.04,95.473,NA,NA,NA,NA,NA
NA,679.394,1606.503,NA,NA,NA,NA,NA,NA,408.958,NA,273.861,1067.758,NA,NA,3674.295,NA,NA,292.191,NA,NA,134.785,NA,NA,1010.422,374.82,NA,NA,479.128,338.088,NA,NA,NA,114.078,159.15,NA,NA,1386.62,6568.965,844.407,162.859,87.761,NA,176.256,NA,NA,NA,NA,352.685,59.566,150.408,NA,NA,91.765,NA,NA,NA,NA,NA,NA,NA,NA,360.632,NA,135.725,NA,NA,573.59,NA,NA,NA,NA,NA,NA
NA,NA,2646.018,NA,NA,984.873,328.236,NA,NA,1006.165,NA,207.131,1643.077,NA,NA,4114.726,NA,NA,NA,362.689,NA,9522.094,NA,NA,405.645,2467.282,NA,NA,122.909,134.911,129.452,88.57,NA,NA,NA,NA,NA,2054.464,7811.443,NA,308.226,114.264,NA,225.532,872.672,91.078,NA,NA,268.504,142.545,359.101,65.92,NA,259.209,NA,NA,115.664,NA,NA,NA,NA,NA,230.715,NA,907.165,NA,1241.504,587.157,NA,NA,NA,NA,NA,NA
NA,476.824,4785.96,NA,NA,733.915,385.997,284.394,NA,1108.235,NA,NA,NA,NA,NA,1116.295,NA,NA,717.856,383.551,NA,2867.525,NA,NA,7630.493,306.508,NA,NA,1090.194,699.56,358.031,NA,357.687,NA,195.231,NA,155.947,509.665,153.282,2256.568,516.99,NA,196.473,1568.663,235.252,235.082,NA,NA,184.187,NA,167.926,NA,197.448,122.428,NA,NA,88.729,NA,NA,NA,NA,NA,103.168,NA,665.354,NA,NA,100.151,NA,NA,NA,NA,NA,NA
NA,568.337,NA,600.072,NA,NA,NA,NA,NA,NA,210.46,1347.065,4211.394,NA,NA,981.824,NA,123.586,NA,150.976,NA,6374.696,NA,NA,NA,227.995,NA,158.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10822.998,NA,NA,86.919,NA,914.264,314.844,294.082,134.47,NA,179.726,NA,NA,NA,NA,NA,NA,NA,879.186,NA,NA,NA,182.203,NA,NA,NA,166.887,NA,156.525,76.102,NA,NA,NA,NA,335.011,NA
NA,1293.353,2303.353,NA,NA,441.624,NA,NA,200.365,1694.943,NA,NA,772.064,NA,NA,4328.311,NA,NA,NA,NA,NA,2765.806,NA,NA,1354.732,1615.848,NA,235.167,233.458,NA,NA,147.216,NA,138.934,NA,NA,NA,1719.311,3693.844,336.538,NA,74.243,321.622,NA,184.66,NA,NA,NA,92.281,153.708,504.094,NA,NA,199.263,NA,NA,135.522,NA,NA,NA,NA,NA,NA,NA,227.811,NA,154.455,78.049,NA,NA,NA,NA,NA,NA
NA,296.987,4089.991,NA,NA,789.594,281.178,551.472,253.881,295.824,NA,NA,384.577,NA,NA,357.18,NA,NA,777.103,352.465,NA,2732.291,NA,NA,2707.42,216.993,NA,NA,350.629,245.803,582.91,NA,NA,NA,151.888,NA,235.591,126.73,85.328,1393.958,365.544,NA,NA,3144.035,285.408,NA,NA,NA,229.81,53.46,164.828,76.46,171.876,122.289,NA,NA,105.381,NA,NA,NA,NA,NA,210.191,NA,207.642,NA,NA,249.477,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429.638,2679.742,NA,NA,381.655,NA,183.775,NA,181.174,NA,6455.189,NA,NA,NA,288.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11196.276,NA,NA,118.323,NA,543.601,444.064,217.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.009,NA,NA,NA,NA,NA,260.752,NA,940.702,NA,624.195,475.535,NA,NA,NA,NA,NA,NA
NA,454.882,1405.298,NA,NA,453.921,NA,NA,NA,524.647,NA,NA,NA,NA,NA,2332.473,NA,NA,161.228,NA,NA,1546.407,NA,NA,1221.468,570.238,NA,229.637,197.485,NA,NA,NA,NA,115.607,NA,NA,135.402,998.387,299.619,331.207,NA,NA,118.401,NA,142.968,NA,NA,NA,196.683,104.714,282.543,NA,NA,222.235,NA,NA,53.712,NA,NA,NA,NA,NA,334.834,NA,229.475,NA,NA,657.104,NA,NA,NA,NA,NA,NA
NA,585.076,NA,NA,NA,NA,NA,NA,NA,495.41,NA,318.943,1779.763,906.501,NA,976.628,NA,NA,NA,NA,NA,2832.21,NA,NA,917.635,422.198,NA,683.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.193,5183.623,NA,NA,153.359,NA,456.237,193.915,NA,NA,NA,146.484,NA,NA,63.398,NA,NA,NA,NA,84.49,NA,NA,NA,55.58,NA,NA,NA,249.899,NA,74.765,129.59,116.195,NA,NA,NA,NA,NA
