"C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073","C074"
NA,1914.464,5002.779,NA,NA,823.669,312.497,NA,NA,NA,NA,NA,369.473,NA,NA,161.642,NA,NA,573.824,NA,NA,1988.952,NA,NA,2367.628,192.245,NA,168.931,156.349,NA,277.187,NA,NA,NA,NA,NA,166.218,90.218,1505.962,835.215,166.489,NA,NA,2973.446,206.586,NA,NA,NA,509.27,NA,136.859,95.812,213.04,86.492,NA,NA,127.631,NA,NA,NA,NA,NA,142.398,NA,87.625,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,378.884,694.609,NA,NA,NA,NA,NA,NA,162.466,NA,319.782,1667.872,320.511,NA,1865.885,NA,NA,NA,121.909,NA,3703.355,NA,NA,396.671,411.677,NA,266.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,776.366,7873.821,NA,117.764,186.427,NA,179.556,300.825,NA,NA,NA,320.875,NA,NA,NA,NA,NA,NA,NA,76.91,NA,NA,NA,NA,169.967,83.339,NA,392.463,NA,NA,466.798,NA,NA,NA,NA,NA,NA
NA,599.954,1677.474,NA,NA,NA,NA,NA,NA,386.706,NA,NA,192.195,91.236,NA,2674.222,NA,NA,165.845,NA,NA,684.152,NA,NA,1805.713,114.922,NA,737.413,284.16,NA,NA,NA,NA,NA,NA,NA,NA,991.753,137.3,NA,226.628,NA,161.98,NA,82.33,NA,NA,NA,635.187,98.176,86.776,NA,NA,NA,107.82,NA,NA,NA,NA,NA,NA,NA,277.214,NA,468.682,NA,NA,517.206,NA,NA,NA,NA,NA,NA
NA,786.493,1001.823,NA,NA,707.052,NA,NA,NA,227,NA,NA,1000.796,NA,NA,3026.271,NA,NA,NA,NA,NA,2103.486,NA,NA,98.275,180.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030.335,6017.777,NA,112.532,NA,142.429,NA,249.081,NA,97.412,84.981,559.789,168.962,NA,NA,NA,NA,83.091,NA,190.881,NA,NA,NA,NA,NA,NA,NA,311.92,NA,NA,80.509,NA,NA,NA,NA,NA,NA
NA,469.334,3867.459,NA,NA,534.733,264.969,NA,NA,1628.282,NA,NA,668.135,NA,NA,6094.02,NA,NA,378.119,NA,NA,2418.679,NA,NA,2179.517,469.612,NA,NA,436.016,NA,140.724,120.015,NA,117.549,213.55,NA,NA,1889.834,4502.443,1168.394,241.302,120.101,485.712,NA,240.744,NA,NA,NA,517.736,250.986,546.172,NA,NA,312.256,NA,NA,188.164,NA,NA,NA,NA,NA,NA,NA,64.801,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,416.069,1723.229,NA,NA,600.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.89,NA,NA,177.608,NA,NA,1390.388,NA,NA,559.044,NA,NA,124.21,NA,NA,NA,NA,NA,107.77,NA,NA,NA,NA,203.758,NA,NA,NA,133.768,NA,120.533,NA,NA,80.922,602.961,NA,NA,NA,122.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505.128,NA,NA,197.29,NA,NA,NA,NA,NA,NA
NA,1009.08,2122.798,NA,NA,NA,NA,NA,NA,1743.618,NA,191.108,839.578,NA,NA,2646.591,NA,158.764,NA,150.867,NA,6966.095,NA,NA,220.979,1187.527,NA,NA,232.853,208.514,NA,NA,NA,NA,122.594,NA,NA,759.975,3765.339,NA,242.787,83.746,64.783,508.413,389.693,147.795,NA,NA,153.257,71.961,141.126,NA,NA,111.771,NA,NA,207.399,NA,NA,NA,NA,NA,83.136,NA,190.052,NA,101.493,164.39,NA,NA,NA,NA,74.26,NA
NA,NA,NA,517.458,NA,NA,NA,NA,NA,NA,NA,485.71,2694.068,NA,NA,310.677,NA,184.148,NA,NA,NA,9651.707,NA,NA,NA,207.505,NA,164.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9812.88,NA,NA,273.881,NA,423.339,249.469,340.841,NA,NA,NA,NA,NA,432.307,NA,NA,NA,NA,261.076,NA,NA,NA,NA,NA,151.004,NA,383.645,NA,384.461,376.345,NA,NA,NA,NA,222.826,NA
NA,504.184,3132.572,NA,NA,699.839,292.999,NA,NA,1250.957,NA,NA,188.73,NA,NA,9077.551,NA,NA,NA,135.823,NA,4765.787,165.48,NA,449.596,2361.666,NA,152.663,171.661,NA,NA,154.377,NA,203.886,NA,NA,NA,3627.087,504.035,NA,297.606,NA,110.411,254.792,430.614,NA,NA,286.72,468,222.222,963.851,88.122,NA,442.096,NA,NA,209.116,NA,NA,NA,NA,NA,65.019,NA,NA,NA,NA,138.542,NA,NA,NA,NA,NA,NA
NA,464.88,4579.361,NA,NA,461.573,256.533,215.201,NA,1770.655,NA,NA,758.789,NA,NA,926.28,NA,NA,719.345,NA,NA,438.5,NA,NA,3025.659,NA,NA,NA,1394.888,958.079,302.042,NA,NA,277.099,NA,NA,NA,249.729,73.798,1844.547,170.15,NA,688.977,NA,76.555,NA,NA,NA,494.771,104.742,230.141,NA,168.947,177.355,NA,NA,84.435,NA,NA,NA,NA,NA,75.34,NA,156.939,NA,NA,70.889,NA,NA,NA,NA,NA,NA
NA,284.24,3877.324,NA,NA,760.013,340.464,603.564,NA,913.599,NA,NA,NA,NA,NA,590.686,NA,NA,910.656,NA,NA,1391.512,NA,NA,4239.231,206.567,NA,NA,723.148,540.806,693.788,NA,178.507,168.063,NA,NA,198.943,151.52,89.187,1496.156,306.043,NA,NA,4644.499,182.251,NA,NA,NA,343.971,94.512,245.373,NA,185.625,193.578,NA,NA,117.894,NA,NA,NA,NA,NA,NA,NA,308.216,NA,NA,151.099,NA,NA,NA,NA,NA,NA
NA,743.798,4078.593,NA,NA,636.804,261.982,470.399,NA,322.116,NA,NA,1545.547,NA,NA,656.544,NA,NA,825.946,NA,NA,1650.632,NA,NA,5729.965,252.328,NA,NA,659.226,415.936,791.512,NA,NA,377.596,NA,NA,162.148,173.782,4273.269,1820.9,222.412,NA,NA,5450.581,171.72,161.953,NA,NA,394.894,147.719,669.765,81.312,156.032,369.945,NA,71.933,281.245,NA,NA,NA,NA,NA,123.151,NA,79.155,NA,NA,231.422,NA,NA,NA,NA,NA,NA
NA,512.087,2627.065,NA,NA,494.616,NA,285.081,NA,288.501,NA,NA,177.84,NA,NA,273.012,NA,NA,451.57,NA,NA,581.417,NA,NA,1761.542,NA,NA,289.333,190.595,NA,268.857,NA,NA,NA,NA,NA,131.794,97.639,87.883,705.277,324.612,NA,NA,2103.741,NA,NA,NA,NA,352.984,NA,119.055,NA,212.233,NA,NA,NA,176.354,NA,NA,NA,NA,NA,246.763,NA,NA,NA,NA,373.758,NA,NA,NA,NA,NA,NA
NA,802.849,577.302,NA,NA,NA,NA,NA,NA,2704.079,NA,NA,NA,737.629,NA,NA,NA,NA,246.858,NA,NA,179.178,NA,NA,1732.669,NA,NA,1281.287,NA,NA,645.74,NA,NA,NA,NA,NA,176.028,NA,102.082,NA,NA,NA,NA,10584.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.895,NA,NA,NA,282.018,NA,NA,NA,278.223,NA,324.517,264.068,487.966,188.729,NA,NA,83.228,101.009
NA,514.868,2774.553,NA,NA,498.259,NA,NA,NA,1530.763,NA,NA,NA,NA,NA,4834.027,NA,NA,166.973,NA,NA,749.586,NA,NA,1516.093,919.238,NA,120.875,337.06,NA,194.598,185.388,NA,NA,NA,NA,NA,1871.138,223.25,NA,290.967,67.831,160.094,NA,78.858,NA,NA,NA,386.925,138.977,264.859,NA,NA,138.703,NA,NA,83.512,NA,NA,NA,NA,NA,NA,NA,270.706,NA,177.352,119.381,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.083,2376.024,NA,NA,391.621,NA,127.744,NA,NA,NA,5984.627,NA,NA,NA,102.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10504.254,NA,NA,312.563,NA,380.955,146.164,178.315,NA,NA,340.304,NA,NA,NA,NA,NA,NA,NA,87.73,NA,NA,NA,NA,NA,91.018,NA,365.056,NA,311.88,250.998,NA,NA,NA,NA,NA,NA
NA,428.315,5451.254,NA,NA,992.696,458.896,651.076,246.952,1494.395,NA,NA,2068.63,NA,NA,1278.469,NA,NA,740.677,NA,NA,1767.158,NA,NA,4881.589,261.805,NA,NA,751.772,457.9,328.235,NA,NA,402.236,NA,NA,138.422,402.264,76.541,1704.516,168.589,NA,NA,1901.004,183.391,NA,NA,NA,391.244,74.192,315.086,NA,136.492,234.948,NA,NA,124.234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.644,NA,NA,NA,NA,NA,NA
NA,490.965,2073.459,NA,NA,533.762,NA,NA,NA,971.294,NA,192.75,1114.151,NA,NA,6272.649,NA,NA,NA,181.492,NA,6743.705,NA,NA,245.878,876.374,NA,NA,110.518,112.163,NA,97.812,NA,NA,NA,NA,NA,2208.345,7488.005,134.397,420.119,126.634,129.932,382.092,668.09,NA,NA,NA,358.513,59.505,100.164,NA,NA,130.625,NA,NA,NA,NA,NA,NA,NA,NA,170.927,NA,474.948,NA,105.919,136.614,NA,NA,NA,NA,NA,NA
NA,NA,3055.167,NA,NA,733.641,267.522,NA,NA,2551.138,NA,NA,158.775,NA,NA,3834.343,NA,NA,447.291,NA,NA,1720.49,NA,NA,5286.784,2100.375,NA,NA,383.774,431.92,857.065,125.787,NA,199.7,NA,NA,NA,2056.564,721.175,NA,293.164,NA,NA,630.208,137.044,NA,NA,NA,399.334,116.504,404.6,NA,NA,166.021,NA,61.385,210.284,NA,NA,NA,NA,NA,NA,NA,354.671,NA,NA,121.776,NA,NA,NA,NA,NA,NA
NA,597.073,NA,NA,NA,NA,NA,NA,NA,379.913,NA,521.413,1857.474,NA,NA,1141.715,NA,NA,NA,114.394,NA,3922.589,NA,NA,NA,556.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.082,6648.924,NA,NA,204.002,NA,523.754,324.091,130.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.655,NA,NA,NA,NA,NA,NA,NA,825.526,NA,671.581,475.944,NA,NA,NA,NA,NA,NA
NA,678.529,2467.639,NA,NA,460.327,NA,NA,198.065,401.978,NA,531.07,1337.15,NA,NA,4587.028,NA,NA,NA,330.89,179.833,12695.224,NA,NA,192.112,1089.034,NA,161.593,402.651,328.222,121.383,NA,NA,NA,182.135,NA,NA,1270.824,6592.971,NA,324.765,379.17,NA,509.474,911.034,104.109,NA,NA,411.742,89.143,184.324,NA,NA,201.97,NA,NA,110.564,NA,NA,NA,NA,NA,265.674,NA,NA,NA,NA,108.922,NA,NA,NA,NA,NA,NA
NA,615.025,2075.274,NA,NA,NA,NA,NA,NA,431.893,NA,NA,NA,1459.919,NA,1227.551,NA,NA,274.746,NA,NA,NA,NA,NA,3418.782,161.611,NA,648.922,443.307,287.143,146.387,NA,135.597,NA,NA,NA,NA,626.362,95.522,839.372,237.419,88.242,NA,355.393,NA,128.134,NA,NA,255.571,NA,101.358,NA,144.923,73.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.443,NA,NA,NA,106.295,NA,NA,NA,NA,NA
NA,791.165,NA,NA,NA,NA,NA,NA,NA,NA,368.186,2919.82,7728.833,NA,NA,542.157,NA,294.698,NA,365.319,NA,NA,12999.651,NA,NA,583.145,NA,202.91,NA,NA,157.896,NA,NA,NA,NA,NA,NA,NA,27817.169,NA,NA,503.333,NA,508.971,730.362,352.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.573,NA,NA,NA,NA,NA,NA,NA,212.272,NA,131.786,105.743,NA,NA,NA,NA,NA,NA
NA,648.159,NA,NA,NA,NA,NA,NA,NA,743.479,161.043,1220.048,3580.702,1389.177,NA,1675.982,NA,NA,NA,NA,NA,4618.545,NA,NA,757.936,378.642,NA,510.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.635,11492.551,NA,NA,156.37,NA,297.993,198.787,146.109,NA,NA,NA,NA,74.355,NA,NA,NA,NA,NA,80.55,NA,NA,NA,60.295,NA,59.477,NA,338.997,NA,213.387,336.278,79.126,NA,NA,NA,NA,NA
NA,525.738,1591.245,NA,NA,NA,NA,NA,NA,719.862,NA,NA,1039.978,NA,NA,5528.846,NA,NA,NA,NA,NA,3789.604,NA,NA,193.601,574.817,NA,NA,82.681,NA,NA,85.71,NA,NA,138.075,NA,NA,2040.419,5717.167,NA,393.967,99.618,132.421,194.028,415.188,NA,NA,144.723,428.722,80.476,127.325,72.739,NA,155.779,NA,NA,96.889,NA,NA,NA,NA,NA,109.979,NA,303.467,NA,194.593,144.67,NA,NA,NA,NA,123.987,NA
NA,758.343,2053.724,NA,NA,444.114,NA,NA,NA,1422.313,NA,1496.386,3472.045,NA,NA,6512.931,NA,NA,NA,328.382,173.604,NA,12893.947,NA,1126.87,1545.694,NA,201.139,400.946,391.321,126.1,180.251,NA,NA,NA,NA,NA,1508.142,12463.695,NA,382.375,420.974,64.665,537.405,887.889,160.11,NA,NA,NA,107.94,313.467,NA,NA,182.268,NA,58.688,272.343,NA,NA,NA,NA,NA,69.486,NA,198.868,NA,NA,127.637,NA,NA,NA,NA,NA,NA
NA,646.485,2242.36,NA,NA,486.348,NA,NA,NA,487.288,NA,NA,634.042,NA,NA,326.897,NA,NA,318.888,NA,NA,1126.899,NA,NA,1763.922,NA,NA,358.611,217.228,NA,126.703,NA,NA,NA,NA,NA,NA,NA,709.33,NA,141.086,NA,185.56,NA,116.437,NA,NA,NA,477.488,NA,139.142,NA,164.519,79.148,NA,NA,60.209,NA,NA,NA,NA,NA,NA,NA,363.269,NA,NA,189.909,NA,NA,NA,NA,NA,NA
NA,61.818,3663.766,NA,NA,675.475,261.472,NA,NA,1668.096,NA,174.504,339.271,NA,NA,504.4,NA,NA,964.586,NA,NA,2654.474,NA,NA,2982.983,271.996,NA,NA,649.132,NA,917.29,NA,NA,379.49,NA,NA,NA,143.328,2688.81,1501.511,NA,NA,NA,3501.427,328.714,NA,102.859,NA,639.93,137.915,266.892,61.876,111.202,170.525,NA,NA,136.553,NA,NA,NA,NA,NA,63.589,NA,198.523,NA,NA,72.987,NA,NA,NA,NA,NA,NA
NA,698.042,2622.653,NA,NA,685.395,250.029,NA,NA,1661.698,NA,NA,556.71,76.934,NA,8263.757,NA,NA,NA,NA,NA,2187.871,NA,NA,1007.305,2091.942,NA,464.111,252.783,NA,NA,167.282,NA,NA,489.678,NA,NA,3193.327,557.534,NA,124.56,NA,111.632,NA,128.049,NA,NA,385.797,148.563,172.52,780.027,NA,NA,206.775,NA,NA,294.47,NA,NA,NA,NA,NA,89.044,NA,104.703,NA,NA,85.412,NA,NA,NA,NA,NA,NA
NA,1515.106,5217.084,NA,NA,NA,NA,NA,NA,4121.907,NA,NA,NA,NA,NA,1727.829,NA,NA,1009.174,NA,NA,1622.218,213.609,NA,5237.582,353.212,NA,NA,1702.391,1052.62,292.623,NA,NA,473.328,365.583,NA,NA,802.995,NA,3017.507,495,NA,NA,1335.936,163.142,NA,NA,NA,508.95,NA,181.497,NA,179.997,125.944,NA,NA,112.684,NA,NA,NA,NA,NA,NA,NA,304.25,NA,97.268,NA,NA,NA,NA,NA,NA,NA
NA,NA,3694.588,NA,NA,770.864,335.097,230.377,NA,521.324,NA,NA,246.497,NA,NA,632.68,NA,NA,911.991,300.934,NA,800.137,NA,NA,8197.762,355.017,NA,NA,469.336,NA,787.045,NA,NA,144.652,185.269,NA,224.236,238.945,107.924,1566.846,412.116,NA,NA,8791.039,NA,NA,100.588,NA,194.877,73.354,425.634,NA,158.788,283.854,NA,NA,154.99,NA,NA,NA,NA,NA,NA,NA,408.307,NA,NA,159.163,NA,NA,NA,NA,NA,NA
NA,676.869,3106.537,NA,NA,NA,NA,NA,NA,1344.376,NA,187.493,482.328,NA,NA,5845.966,NA,NA,328.218,NA,NA,2182.137,NA,NA,1607.957,1276.695,NA,NA,450.168,333.156,NA,NA,NA,116.562,267.966,NA,NA,1950.976,5136.517,715.211,234.261,NA,153.281,227.667,243.608,NA,136.598,113.391,333.177,59.483,217.57,NA,NA,120.555,NA,NA,64.602,NA,NA,NA,NA,NA,NA,NA,207.371,NA,141.958,85.247,NA,NA,NA,NA,NA,NA
NA,583.667,4408.943,NA,NA,477.849,297.68,520.885,NA,1522.903,NA,NA,264.88,NA,NA,1671.699,NA,NA,1057.043,180.141,NA,3904.111,175.542,NA,NA,583.72,NA,NA,1386.704,867.419,1418.501,NA,NA,320.495,249.881,NA,98.29,765.673,78.425,3260.423,257.191,NA,258.067,1237.851,238.527,194.124,NA,NA,306.295,NA,393.032,NA,145.2,235.143,NA,54.218,313.563,NA,NA,NA,NA,NA,NA,NA,725.883,NA,211.142,122.216,NA,NA,NA,NA,NA,NA
NA,488.144,4485.405,NA,NA,634.094,292.743,542.674,NA,1130.474,NA,154.103,236.233,NA,NA,421.203,NA,NA,624.555,NA,NA,1840.464,NA,NA,2837.062,198.879,NA,NA,689.569,554.556,293.932,NA,126.108,164.04,NA,NA,172.012,118.916,102.564,607.599,160.055,NA,NA,2281.115,243.954,NA,NA,NA,494.432,NA,58.159,NA,171.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.118,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,760.501,NA,NA,NA,NA,NA,NA,NA,273.098,NA,254.593,884.708,NA,NA,1875.573,NA,NA,NA,NA,NA,1134.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366.296,2904.006,NA,175.369,NA,NA,NA,119.681,NA,NA,NA,222.511,NA,72.414,NA,NA,82.39,NA,NA,121.628,NA,138.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,986.628,1875.632,NA,NA,NA,NA,NA,NA,649.384,NA,303.989,2417.725,NA,NA,2549.45,NA,NA,NA,NA,NA,2772.073,NA,NA,313.138,433.168,NA,NA,124.105,113.819,NA,NA,NA,NA,NA,NA,NA,846.673,8859.785,NA,174.898,142.343,NA,387.369,150.874,139.477,NA,NA,141.731,86.453,81.915,NA,NA,108.04,NA,NA,290.167,NA,NA,NA,NA,NA,NA,NA,198.996,NA,NA,69.294,NA,NA,NA,NA,NA,NA
NA,NA,926.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,1324.046,NA,NA,1851.684,NA,NA,NA,148.655,NA,5112.612,NA,NA,98.879,467.962,NA,100.535,100.577,NA,NA,NA,NA,NA,NA,NA,NA,591.721,7661.853,NA,142.949,191.428,NA,496.124,514.562,NA,NA,NA,385.263,84.66,124.151,NA,NA,91.502,NA,NA,255.414,NA,NA,NA,NA,323.983,120.118,NA,237.271,NA,111.974,661.861,NA,NA,NA,NA,NA,NA
NA,486.404,3773.722,NA,NA,571.127,236.901,480.124,NA,228.214,NA,NA,524.871,NA,NA,232.189,NA,NA,510.435,NA,NA,1877.303,NA,NA,2357.34,161.783,NA,257.733,174.35,NA,367.042,NA,NA,167.854,NA,NA,NA,77.288,814.301,NA,135.735,NA,NA,1470.143,184.477,NA,NA,NA,538.726,NA,119.508,NA,184.673,NA,59.749,NA,165.902,NA,NA,NA,NA,NA,179.998,NA,162.761,NA,NA,150.726,NA,NA,NA,NA,NA,NA
NA,576.536,844.794,NA,NA,NA,NA,NA,NA,1305.78,NA,171.284,403.256,NA,NA,3446.862,NA,NA,2116.53,NA,NA,3740.5,NA,NA,NA,NA,24882.265,67.073,87.615,78.354,2270.793,NA,NA,NA,110.39,NA,NA,464.235,1289.585,NA,163.338,NA,NA,830.633,280.166,172.746,NA,NA,619.566,66.332,69.87,NA,NA,NA,NA,NA,NA,110.592,NA,NA,NA,83.658,NA,NA,263.289,NA,96.726,169.98,NA,NA,NA,NA,NA,NA
NA,NA,1334.606,NA,NA,NA,NA,NA,NA,593.614,NA,NA,365.499,NA,NA,2704.303,NA,NA,NA,NA,NA,2907.841,NA,NA,248.377,895.865,NA,NA,294.57,223.251,NA,NA,NA,NA,151.864,NA,134.625,931.291,2449.259,NA,324.207,107.412,NA,NA,218.41,NA,NA,NA,153.208,76.427,112.43,NA,NA,206.497,NA,NA,NA,NA,NA,NA,NA,NA,180.923,NA,130.746,NA,NA,116.814,NA,NA,NA,NA,NA,NA
NA,268.366,2120.5,NA,NA,520.861,NA,NA,NA,1745.632,NA,NA,816.477,NA,NA,7808.818,NA,NA,NA,NA,NA,3039.114,NA,NA,333.418,937.989,NA,NA,190.474,187.521,NA,147.652,NA,NA,185.928,NA,146.525,2701.834,4903.339,NA,374.324,NA,98.643,137.665,305.472,NA,NA,107.636,447.009,139.254,210.516,73.695,NA,167.166,NA,NA,125.283,NA,NA,NA,NA,NA,103.153,NA,296.091,NA,86.141,105.218,NA,NA,NA,NA,NA,NA
NA,663.627,655.602,NA,NA,NA,NA,NA,NA,504.326,NA,266.264,1441.237,NA,NA,1065.356,NA,NA,NA,NA,NA,3953.453,NA,NA,NA,298.141,NA,NA,NA,NA,NA,7824.195,NA,NA,1114.09,NA,NA,95.251,3386.61,NA,NA,101.696,NA,1112.815,228.452,NA,NA,NA,350.338,NA,NA,NA,NA,NA,NA,NA,311.201,2105.253,NA,NA,NA,NA,85.334,NA,362.598,NA,254.174,315.554,NA,NA,NA,NA,NA,NA
NA,292.766,2290.793,NA,NA,589.515,NA,NA,NA,469.464,NA,NA,406.592,NA,NA,1827.418,NA,NA,255.097,NA,NA,2021.666,NA,NA,2908.666,437.943,NA,NA,319.032,203.919,168.894,NA,NA,NA,NA,NA,NA,686.181,1692.433,771.696,313.435,NA,NA,103.719,143.489,NA,NA,NA,195.645,59.505,192.241,NA,96.925,144.648,NA,NA,83.482,NA,NA,NA,NA,NA,151.533,NA,253.049,NA,186.473,439.102,NA,NA,NA,NA,NA,NA
NA,577.865,2055.48,NA,NA,549.316,NA,NA,NA,801.553,NA,505.818,1390.965,NA,NA,4775.893,NA,NA,NA,242.943,150.432,10226.738,159.614,NA,166.158,919.689,NA,170.338,171.491,NA,106.82,NA,NA,NA,NA,NA,NA,1784.351,6443.212,NA,282.863,330.538,85.743,254.293,825.88,125.296,NA,NA,395.168,101.54,150.417,NA,NA,163.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.881,NA,NA,NA,NA,NA,NA
NA,NA,1706.576,NA,NA,NA,NA,NA,NA,373.163,NA,NA,NA,NA,NA,307.971,NA,NA,461.588,NA,NA,740.815,NA,NA,1090.284,NA,NA,564.795,424.457,NA,172.457,NA,NA,NA,NA,NA,106.851,83.29,605.914,NA,216.072,NA,NA,2960.768,132.636,NA,NA,NA,471.329,NA,77.686,NA,156.049,NA,67.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.779,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,117.271,2236.118,NA,NA,671.514,NA,NA,NA,988.513,NA,176.749,1417.431,NA,NA,6425.449,NA,NA,NA,180.315,NA,6916.337,NA,NA,248.328,876.412,NA,NA,106.917,108.209,NA,90.395,NA,NA,143.56,NA,NA,2322.554,6556.806,125.496,419.009,118.123,125.977,298.223,584.198,NA,NA,NA,353.387,77.813,127.418,108.318,NA,158.993,NA,NA,131.249,NA,NA,NA,NA,NA,126.517,NA,580.468,NA,156.774,82.518,NA,NA,NA,NA,NA,NA
NA,412.929,4416.856,NA,NA,731.449,366.98,201.721,NA,1403.379,NA,NA,163.452,NA,NA,784.856,NA,NA,795.911,367.01,NA,2208.415,NA,NA,9313.589,419.393,NA,NA,597.481,444.726,872.042,NA,NA,171.406,200.228,NA,155.577,299.919,108.57,1752.175,420.035,NA,NA,3237.421,215.989,181.3,NA,NA,NA,71.744,269.873,NA,145.757,175.341,NA,NA,81.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1339.318,4123.605,NA,NA,NA,NA,NA,NA,1572.185,NA,NA,574.532,NA,NA,1028.652,NA,NA,1576.135,NA,NA,1361.606,NA,NA,1609.929,103.852,NA,NA,1418.383,998.443,479.659,NA,NA,407.001,352.166,NA,NA,329.886,3904.951,2360.524,384.478,NA,NA,2673.063,282.861,NA,NA,138.207,847.653,113.511,166.738,NA,233.246,176.003,NA,NA,105.928,NA,NA,NA,NA,NA,NA,NA,298.068,NA,NA,171.812,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,7767.141,NA,139.578,722.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615.263,NA,NA,475.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2953.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.516,NA,NA,NA,NA,NA,NA,74.814,NA,NA,NA,383.915,NA,NA,NA,170.241,NA,NA,92.318,293.737,111.014,NA,150.978,264.994,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,243.184,NA,329.813,886.498,NA,NA,1096.891,NA,122.232,NA,179.391,NA,6224.151,NA,NA,NA,636.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.563,3578.371,NA,NA,187.976,NA,460.68,533.348,98.752,NA,NA,122.339,NA,74.893,NA,NA,NA,NA,NA,280.106,NA,NA,154.912,NA,NA,NA,NA,1137.82,65.733,77.325,680.82,NA,NA,NA,NA,NA,NA
NA,638.075,627.575,NA,NA,NA,NA,NA,NA,743.879,171.092,1421.804,3735.31,NA,NA,2334.015,NA,251.027,NA,231.247,NA,10543.548,NA,NA,134.685,1085.729,NA,142.244,NA,NA,94.116,NA,NA,NA,NA,NA,NA,277.599,14957.374,NA,NA,276.412,NA,386.927,493.16,287.101,NA,NA,128.671,103.376,144.073,51.456,NA,64.032,NA,NA,277.317,NA,NA,NA,NA,NA,NA,NA,592.817,NA,587.184,237.461,NA,NA,NA,NA,NA,NA
NA,NA,2073.352,NA,NA,925.625,254.461,NA,NA,367.652,NA,NA,365.602,NA,NA,364.77,NA,NA,242.959,174.172,NA,3025.036,NA,NA,3776.735,274.602,NA,NA,275.538,271.209,NA,NA,NA,NA,NA,NA,NA,208.772,475.846,NA,121.799,NA,NA,278.646,223.634,NA,NA,NA,134.451,NA,183.658,NA,98.295,83.592,NA,NA,386.549,NA,NA,NA,NA,NA,NA,NA,557.196,NA,71.929,213.131,NA,NA,NA,NA,NA,NA
