"","Paired","Garden Plant ID","2020 STATUS","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description","Plant Group","Site","Latitude","Longitude","Elevation (m)","effective_species","cluster_assignments"
"NMT.2.3_2021",TRUE,53,"","OCG","NM","T","2021","NMT.2.3","4n","T_4n",NA,NA,NA,NA,27.4,"NMT.2.3_2021","NMT-2","San Luis Mesa",35.7572,-107.1478,1979,39,3
"NMT.2.4_2012",TRUE,201,"A","OCG","NM","T","2012","NMT.2.4","4n","T_4n",NA,NA,NA,NA,59.5,"NMT.2.4_2012","NMT-2","San Luis Mesa",35.7572,-107.1478,1979,66,3
"NMT.2.4_2021",TRUE,201,"","OCG","NM","T","2021","NMT.2.4","4n","T_4n",NA,NA,NA,NA,109.7,"NMT.2.4_2021","NMT-2","San Luis Mesa",35.7572,-107.1478,1979,64,3
"NMT.2.5_2021",TRUE,23,"","OCG","NM","T","2021","NMT.2.5","4n","T_4n",NA,NA,NA,NA,31.6,"NMT.2.5_2021","NMT-2","San Luis Mesa",35.7572,-107.1478,1979,44,3
"NMT.2.6_2021",TRUE,99,"","OCG","NM","T","2021","NMT.2.6","4n","T_4n",NA,NA,NA,NA,30.3,"NMT.2.6_2021","NMT-2","San Luis Mesa",35.7572,-107.1478,1979,64,3
"NMT.2.8_2012",TRUE,164,"A","OCG","NM","T","2012","NMT.2.8","4n","T_4n",NA,NA,NA,NA,47.7,"NMT.2.8_2012","NMT-2","San Luis Mesa",35.7572,-107.1478,1979,58,3
"NMT.2.8_2021",TRUE,164,"","OCG","NM","T","2021","NMT.2.8","4n","T_4n",NA,NA,NA,NA,86,"NMT.2.8_2021","NMT-2","San Luis Mesa",35.7572,-107.1478,1979,46,3
"NVT.1.6_2012",FALSE,302,"D","OCG","NV","T","2012","NVT.1.6","2n","T_2n",NA,NA,NA,NA,23.9,"NVT.1.6_2012","NVT-2","Currant B",38.7971,-115.3921,1797,31,2
"NVTW.1.10_2021",TRUE,450,"","OCG","NV","T","2021","NVTW.1.10","2n","T_2n",NA,NA,NA,NA,115.8,"NVTW.1.10_2021","NVV-1","Austin",39.4728,-117.0497,2412,39,2
"NVTW.1.3_2012",FALSE,234,"D","OCG","NV","T","2012","NVTW.1.3","2n","T_2n",NA,NA,NA,NA,50.3,"NVTW.1.3_2012","NVV-1","Austin",39.4728,-117.0497,2412,55,2
"NVV.2.5_2021",TRUE,205,"","OCG","NV","V","2021","NVV.2.5","2n","V_2n",NA,NA,NA,NA,97.7,"NVV.2.5_2021","NVV-2","Currant V",38.8183,-115.2835,2132,50,5
"ORT.1.1_2012",TRUE,208,"A","OCG","OR","T","2012","ORT.1.1","2n","T_2n",NA,NA,NA,NA,51.4,"ORT.1.1_2012","ORT-1","Jordan Valley",42.9745,-117.1854,1349,48,1
"ORT.1.1_2021",TRUE,208,"","OCG","OR","T","2021","ORT.1.1","2n","T_2n",NA,NA,NA,NA,NA,"ORT.1.1_2021","ORT-1","Jordan Valley",42.9745,-117.1854,1349,50,4
"ORT.1.6_2012",TRUE,394,"A","OCG","OR","T","2012","ORT.1.6","2n","T_2n",NA,NA,NA,NA,33.8,"ORT.1.6_2012","ORT-1","Jordan Valley",42.9745,-117.1854,1349,48,1
"ORT.1.6_2021",TRUE,394,"","OCG","OR","T","2021","ORT.1.6","2n","T_2n",NA,NA,NA,NA,83,"ORT.1.6_2021","ORT-1","Jordan Valley",42.9745,-117.1854,1349,35,2
"ORT.1.9_2012",TRUE,381,"A","OCG","OR","T","2012","ORT.1.9","2n","T_2n",NA,NA,NA,NA,31,"ORT.1.9_2012","ORT-1","Jordan Valley",42.9745,-117.1854,1349,44,1
"ORT.1.9_2021",TRUE,381,"","OCG","OR","T","2021","ORT.1.9","2n","T_2n",NA,NA,NA,NA,49.5,"ORT.1.9_2021","ORT-1","Jordan Valley",42.9745,-117.1854,1349,49,1
"ORT.2.3_2012",TRUE,91,"A","OCG","OR","T","2012","ORT.2.3","2n","T_2n",NA,NA,NA,NA,38.6,"ORT.2.3_2012","ORT-2","Echo",45.7589,-119.2076,223,49,1
"ORT.2.3_2021",TRUE,91,"","OCG","OR","T","2021","ORT.2.3","2n","T_2n",NA,NA,NA,NA,31.4,"ORT.2.3_2021","ORT-2","Echo",45.7589,-119.2076,223,46,4
