"","Paired","Garden Plant ID","2020 STATUS","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description","Plant Group","Site","Latitude","Longitude","Elevation (m)"
"IDT.3.5_2021",TRUE,199,"","OCG","ID","T","2021","IDT.3.5","2n","T_2n",NA,NA,NA,NA,67.1,"IDT.3.5_2021","IDT-3","Hwy 95 hilltop",43.3366,-116.9641,1358
"IDT.3.9_2012",TRUE,441,"A","OCG","ID","T","2012","IDT.3.9","2n","T_2n",NA,NA,NA,NA,114.4,"IDT.3.9_2012","IDT-3","Hwy 95 hilltop",43.3366,-116.9641,1358
"IDT.3.9_2021",TRUE,441,"","OCG","ID","T","2021","IDT.3.9","2n","T_2n",NA,NA,NA,NA,116.9,"IDT.3.9_2021","IDT-3","Hwy 95 hilltop",43.3366,-116.9641,1358
"IDV.2.7_2012",FALSE,120,"D","OCG","ID","V","2012","IDV.2.7","2n","V_2n",NA,NA,NA,NA,26.7,"IDV.2.7_2012","IDV-2","Dunnigan Cr",43.6776,-115.9738,1003
"IDV.2.8_2012",FALSE,377,"D","OCG","ID","V","2012","IDV.2.8","2n","V_2n",NA,NA,NA,NA,26.3,"IDV.2.8_2012","IDV-2","Dunnigan Cr",43.6776,-115.9738,1003
"IDV.3.5_2012",FALSE,320,"D","OCG","ID","V","2012","IDV.3.5","2n","V_2n",NA,NA,NA,NA,18.5,"IDV.3.5_2012","IDV-3","Stanley",44.259,-114.6402,1766
"IDV.3.7_2012",FALSE,111,"D","OCG","ID","V","2012","IDV.3.7","2n","V_2n",NA,NA,NA,NA,25.5,"IDV.3.7_2012","IDV-3","Stanley",44.259,-114.6402,1766
"IDV.3.8_2012",FALSE,209,"D","OCG","ID","V","2012","IDV.3.8","2n","V_2n",NA,NA,NA,NA,20.4,"IDV.3.8_2012","IDV-3","Stanley",44.259,-114.6402,1766
"IDV.5.1_2012",FALSE,185,"D","OCG","ID","V","2012","IDV.5.1","2n","V_2n",NA,NA,NA,NA,24,"IDV.5.1_2012","IDV-5","Pearl Rd",43.8385,-116.2559,1309
"IDV.5.10_2012",FALSE,266,"D","OCG","ID","V","2012","IDV.5.10","2n","V_2n",NA,NA,NA,NA,25,"IDV.5.10_2012","IDV-5","Pearl Rd",43.8385,-116.2559,1309
