"Description","RT001","C001","RT002","C002","RT003","C003","RT004","C004","RT005","C005","RT006","C006","RT007","C007","RT008","C008","RT009","C009","RT010","C010","RT011","C011","RT012","C012","RT013","C013","RT014","C014","RT015","C015","RT016","C016","RT017","C017","RT018","C018","RT019","C019","RT020","C020","RT021","C021","RT022","C022","RT023","C023","RT024","C024","RT025","C025","RT026","C026","RT027","C027","RT028","C028","RT029","C029","RT030","C030","RT031","C031","RT032","C032","RT033","C033","RT034","C034","RT035","C035","RT036","C036","RT037","C037","RT038","C038","RT039","C039","RT040","C040","RT041","C041","RT042","C042","RT043","C043","RT044","C044","RT045","C045","RT046","C046","RT047","C047","RT048","C048","RT049","C049","RT050","C050","RT051","C051","RT052","C052","RT053","C053","RT054","C054","RT055","C055","RT056","C056","RT057","C057","RT058","C058","RT059","C059","RT060","C060","RT061","C061","RT062","C062","RT063","C063","RT064","C064","RT065","C065","RT066","C066","RT067","C067","RT068","C068","RT069","C069","RT070","C070","RT071","C071","RT072","C072","RT073","C073","RT074","C074"
"ORT.2.4_2021",NA,NA,3.0175,5336.865,NA,NA,NA,NA,5.037,1212.86,NA,NA,NA,NA,11.6145,758.319,NA,NA,NA,NA,NA,NA,13.2645,1508.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3199,1058.999,15.9195,154.248,16.546,3766.896,16.6643,101.632,NA,NA,NA,NA,17.3762,4103.94,NA,NA,17.9478,644.255,18.2171,592.617,18.4099,394.298,NA,NA,NA,NA,NA,NA,19.4917,539.827,NA,NA,NA,NA,NA,NA,20.4305,185.001,20.7051,6443.18,20.8485,170.838,21.2334,148.759,21.3406,507.484,NA,NA,21.5729,227.591,NA,NA,NA,NA,21.9092,245.36,22.3104,77.16,22.7806,456.078,22.8856,1171.682,23.161,75.319,23.2754,67.32,23.4587,74.441,NA,NA,NA,NA,23.7588,176.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1169,71.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.1.9_2021",NA,NA,3.0178,7470.65,4.2368,147.717,NA,NA,5.0409,1203.885,NA,NA,NA,NA,11.6291,1709.296,NA,NA,12.134,131.082,12.6532,228.182,13.2432,449.773,13.7003,100.791,NA,NA,NA,NA,14.9161,121.411,NA,NA,15.364,2084.621,15.7468,442.902,16.5585,4788.852,16.675,131.689,NA,NA,NA,NA,17.3843,4605.612,NA,NA,17.9736,1021.665,18.1537,1100.695,18.4651,1738.704,18.6066,135.269,NA,NA,NA,NA,19.4903,541.109,19.871,153.511,NA,NA,NA,NA,20.4197,273.786,20.6755,4717.438,NA,NA,21.1207,570.07,NA,NA,21.438,7372.214,NA,NA,21.6288,394.935,NA,NA,21.9846,76.776,22.3274,233.619,22.7807,516.012,23.0026,162.175,23.1644,173.156,23.2772,72.448,23.4619,129.389,NA,NA,NA,NA,23.7354,128.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.117,124.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.2_2021",NA,NA,3.02,9886.513,4.2371,261.011,NA,NA,NA,NA,NA,NA,NA,NA,11.6424,2185.338,NA,NA,12.1511,129.068,NA,NA,NA,NA,13.711,192.807,NA,NA,NA,NA,14.6941,117.977,NA,NA,15.3405,1200.371,15.7441,494.12,16.5511,4016.031,16.7061,146.399,NA,NA,NA,NA,17.4336,8445.534,NA,NA,17.9902,1210.56,18.1701,1389.373,18.4256,435.425,NA,NA,NA,NA,NA,NA,19.4411,644.183,NA,NA,NA,NA,NA,NA,20.4112,562.628,20.5486,582.468,20.8499,272.896,21.2463,408.853,21.3581,801.263,NA,NA,21.5734,200.664,NA,NA,NA,NA,21.9126,368.111,NA,NA,22.7814,155.972,22.8953,1654.307,NA,NA,23.2731,59.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.117,102.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAT.1.1_2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3178,178.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.6_2021",NA,NA,3.0208,10147.929,4.2379,309.634,NA,NA,NA,NA,NA,NA,NA,NA,11.6315,1458.132,NA,NA,12.1833,216.811,NA,NA,13.2459,322.047,13.7129,200.535,NA,NA,NA,NA,14.6929,111.204,NA,NA,15.3643,1521.287,15.7488,485.436,NA,NA,16.7167,100.765,NA,NA,NA,NA,17.4498,9801.085,NA,NA,17.9453,336.455,18.1584,1174.936,18.4538,1215.067,NA,NA,NA,NA,NA,NA,19.4541,672.019,19.8724,84.331,NA,NA,NA,NA,20.4166,598.028,20.6135,1563.571,20.8544,87.499,21.2506,408.702,21.3645,1091.207,NA,NA,21.5834,321.731,NA,NA,NA,NA,21.9881,207.254,NA,NA,NA,NA,NA,NA,23.1635,174.841,23.2739,103.633,23.4588,98.063,NA,NA,NA,NA,23.736,170.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1173,72.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.1.6_2021",NA,NA,3.1675,60.461,3.8453,206.688,NA,NA,NA,NA,7.2691,197.231,NA,NA,11.6212,1170.247,NA,NA,NA,NA,12.6577,265.433,13.2457,407.039,13.7068,170.784,NA,NA,NA,NA,NA,NA,NA,NA,15.349,1440.37,15.7983,1212.011,16.5371,3046.4,16.7102,143.087,NA,NA,NA,NA,17.4357,8940.324,17.8802,324.907,18.0163,1715.53,18.1719,971.448,18.4618,1155.2,NA,NA,NA,NA,18.9892,287.212,19.4881,131.837,NA,NA,NA,NA,NA,NA,20.4244,240.195,20.6779,4148.552,20.81,106.035,21.1292,783.999,NA,NA,21.431,6348.331,NA,NA,NA,NA,NA,NA,21.9797,1498.854,22.336,149.71,NA,NA,NA,NA,23.1749,172.453,23.2851,84.761,23.4642,163.694,NA,NA,NA,NA,23.7378,85.659,NA,NA,23.8568,146.996,NA,NA,NA,NA,NA,NA,NA,NA,25.1204,101.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORV.1.10_2021",NA,NA,3.0143,3454.726,4.2362,198.716,4.9,495.021,NA,NA,NA,NA,NA,NA,11.6198,1046.776,NA,NA,12.1525,231.326,12.6591,365.615,13.2785,2258.85,NA,NA,14.2503,140.456,NA,NA,14.9205,145.926,NA,NA,15.2807,151.619,15.9177,157.897,16.5427,3627.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9344,513.15,18.1966,322.518,NA,NA,NA,NA,NA,NA,18.9047,89.945,19.5276,165.316,19.8929,148.084,NA,NA,NA,NA,20.3026,137.953,20.5554,2371.966,20.8069,16221.829,21.1797,310.061,21.3113,1252.295,NA,NA,21.57,232.001,NA,NA,NA,NA,21.8867,130.58,NA,NA,22.6542,155.428,22.995,119.162,23.1575,112.124,23.318,76.726,NA,NA,NA,NA,NA,NA,23.7689,701.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTW.1.4_2021",NA,NA,3.0177,894.973,NA,NA,NA,NA,5.0131,298.197,NA,NA,NA,NA,11.6007,100.43,NA,NA,NA,NA,12.652,141.555,13.2592,1236.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9174,189.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1732,86.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8644,343.306,NA,NA,NA,NA,20.4321,428.224,20.6982,6663.758,NA,NA,21.1389,166.415,NA,NA,NA,NA,21.5632,617.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7555,256.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1201,437.619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAW.1.2_2021",NA,NA,3.0186,4227.835,4.2405,370.595,NA,NA,5.0533,481.259,NA,NA,NA,NA,11.62,764.632,NA,NA,12.1919,215.325,12.659,117.883,13.2517,576.622,NA,NA,NA,NA,14.4488,5840.044,NA,NA,NA,NA,15.2745,170.993,15.9201,174.23,16.5272,2285.747,16.6565,106.464,NA,NA,NA,NA,NA,NA,NA,NA,17.9444,834.81,18.197,306.896,NA,NA,NA,NA,NA,NA,18.9052,139.194,19.4446,415.284,19.8741,209.966,NA,NA,NA,NA,20.4955,2047.588,20.5779,499.298,20.9235,411.752,21.2458,508.518,NA,NA,NA,NA,21.5695,321.14,NA,NA,NA,NA,21.987,170.317,NA,NA,22.6943,213.051,22.9966,117.809,23.1602,193.411,23.3186,95.808,23.4559,79.793,NA,NA,NA,NA,23.7542,208.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1169,100.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.3.9_2021",NA,NA,3.0152,18655.679,3.8393,198.85,NA,NA,NA,NA,NA,NA,NA,NA,11.6458,3346.747,NA,NA,NA,NA,12.6529,296.632,13.2422,441.113,13.7052,170.674,14.2425,146.536,NA,NA,NA,NA,NA,NA,15.4162,1872.735,15.8413,1256.433,16.556,4804.414,16.8086,190.467,NA,NA,NA,NA,NA,NA,17.6656,816.392,18.0093,1230.338,18.1742,886.324,18.5187,3145.84,18.6265,142.354,NA,NA,19.0035,374.046,19.4998,176.213,19.8851,109.295,NA,NA,NA,NA,20.4378,883.988,20.6584,3668.189,20.8288,77.606,21.1733,1124.056,NA,NA,21.4618,9406.436,NA,NA,NA,NA,NA,NA,21.9843,1366.949,22.3438,200.048,22.6975,77.759,23.0028,122.45,23.1787,458.434,23.2877,92.737,23.469,352.511,NA,NA,NA,NA,23.738,170.252,NA,NA,23.8548,88.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NVTW.1.10_2021",NA,NA,3.0198,5762.229,4.2385,161.667,NA,NA,NA,NA,NA,NA,NA,NA,11.6161,956.37,NA,NA,12.1863,145.585,NA,NA,13.2436,588.831,13.6984,113.202,NA,NA,NA,NA,NA,NA,NA,NA,15.3311,1737.853,15.7277,290.375,16.5093,1660.523,16.6509,111.531,NA,NA,NA,NA,NA,NA,NA,NA,17.9447,598.351,18.2276,941.923,18.4159,615.695,NA,NA,NA,NA,NA,NA,19.465,655.962,19.8608,114.234,NA,NA,NA,NA,20.4061,190.57,20.6571,4072.33,20.845,122.058,21.248,279.167,21.3795,2505.806,NA,NA,21.5686,171.948,NA,NA,NA,NA,21.9849,235.468,NA,NA,22.7579,108.743,22.9925,70.002,23.1557,78.939,23.2701,79.615,23.4541,56.533,NA,NA,NA,NA,23.7538,176.897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAT.2.4_2021",NA,NA,3.0167,2656.284,3.3747,137.566,NA,NA,NA,NA,NA,NA,NA,NA,11.6023,195.209,NA,NA,NA,NA,NA,NA,13.2415,331.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2787,374.706,15.9142,180.96,16.5304,2765.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9091,212.733,18.194,370.499,18.3834,93.178,NA,NA,NA,NA,NA,NA,19.5767,96.446,NA,NA,NA,NA,NA,NA,20.3916,211.041,20.6093,1527.979,20.9367,497.423,NA,NA,21.3337,302.173,21.4679,117.512,21.5561,300.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3296,181.774,NA,NA,NA,NA,NA,NA,23.7604,393.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.3_2021",NA,NA,3.0145,3689.593,4.2358,188.875,NA,NA,NA,NA,NA,NA,NA,NA,11.6038,193.627,NA,NA,NA,NA,NA,NA,13.2559,975.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.282,429.666,15.9169,117.4,16.5311,2650.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.912,260.09,18.1822,121.834,18.3902,156.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4226,553.133,20.6593,3627.05,20.9482,652.815,21.1392,70.108,21.3284,144.222,NA,NA,21.5534,154.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3223,110.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1231,538.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZTW.1.5_2021",NA,NA,3.0146,1929.12,4.236,124.62,NA,NA,5.0092,478.214,NA,NA,NA,NA,11.5962,122.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2595,220.57,NA,NA,16.5026,1543.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.924,680.681,18.1777,156.292,NA,NA,NA,NA,NA,NA,NA,NA,19.5787,145.016,NA,NA,NA,NA,NA,NA,20.4254,891.543,20.6216,1626.911,20.9311,382.059,NA,NA,21.3227,82.41,NA,NA,21.5448,139.889,NA,NA,NA,NA,21.9683,74.027,NA,NA,22.6413,93.672,NA,NA,NA,NA,23.3147,121.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.115,209.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTWV.2.10_2021",NA,NA,3.0154,4760.549,4.2362,361.391,4.8277,827.053,NA,NA,NA,NA,NA,NA,11.612,328.121,NA,NA,12.1661,217.054,12.6782,1464.645,13.3049,4388.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.925,248.374,16.5535,3707.206,16.6714,97.408,NA,NA,17.2354,638.986,NA,NA,NA,NA,17.9309,808.113,18.2004,247.634,NA,NA,18.5946,93.599,NA,NA,18.9095,98.976,19.4937,217.065,19.8897,262.657,NA,NA,NA,NA,20.2654,150.364,20.5294,2229.733,20.9391,141.912,21.1956,915.328,21.3104,869.657,NA,NA,21.5719,305.528,NA,NA,NA,NA,22.0218,326.838,NA,NA,NA,NA,23.0446,225.452,23.1607,155.49,23.3193,63.876,23.459,57.421,NA,NA,NA,NA,23.7623,312.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1207,208.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORW.1.1_2021",NA,NA,3.0206,10309.772,3.664,221.019,4.8972,607.244,NA,NA,NA,NA,NA,NA,11.6548,2823.459,NA,NA,12.1426,183.122,12.6619,152.907,13.2521,486.065,13.7184,161.066,NA,NA,14.4487,5731.926,NA,NA,NA,NA,15.34,865.555,15.7475,230.349,NA,NA,16.6803,152.163,NA,NA,NA,NA,17.3836,3770.515,NA,NA,18.0161,2218.671,18.166,945.009,18.4278,399.637,18.6111,88.794,NA,NA,18.9207,177.79,19.4381,457.732,NA,NA,NA,NA,NA,NA,20.4848,1803.284,20.5773,457.542,20.8283,150.681,21.2537,398.834,21.3515,374.072,NA,NA,21.5803,354.699,NA,NA,NA,NA,21.9242,526.153,NA,NA,NA,NA,23.001,84.385,23.1656,190.908,23.3376,131.49,23.4618,101.614,NA,NA,NA,NA,23.7369,88.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.2.3_2021",NA,NA,3.0156,16522.994,3.6574,204.346,NA,NA,NA,NA,7.2589,151.191,NA,NA,11.6681,4862.218,NA,NA,NA,NA,12.6525,138.463,13.2453,612.152,13.7089,270.422,NA,NA,NA,NA,14.9333,173.1,NA,NA,15.3531,1471.388,15.7568,839.99,16.5375,3496.648,16.7321,258.49,NA,NA,NA,NA,17.4662,12346.663,17.8754,89.138,18.0225,2352.296,18.1666,944.198,18.4439,731.996,NA,NA,NA,NA,18.9628,138.095,19.4626,410.181,NA,NA,NA,NA,20.056,100.329,20.4252,729.091,20.6357,2225.361,20.8054,124.504,21.2482,366.574,21.3624,966.293,NA,NA,21.5773,129.423,NA,NA,NA,NA,21.9243,695.232,NA,NA,NA,NA,NA,NA,23.1636,246.601,23.2735,75.153,23.4593,131.711,NA,NA,NA,NA,23.7333,87.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.979,73.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.7_2021",NA,NA,3.02,6217.42,4.2375,171.867,NA,NA,NA,NA,NA,NA,NA,NA,11.6111,564.98,NA,NA,12.1466,132.762,NA,NA,13.2384,148.26,13.7,123.269,NA,NA,NA,NA,NA,NA,NA,NA,15.3086,841.65,15.9186,227.016,16.5493,4151.931,16.6511,91.752,NA,NA,NA,NA,NA,NA,NA,NA,17.9368,590.589,18.2104,542.36,18.3997,290.613,NA,NA,NA,NA,NA,NA,19.5849,152.341,NA,NA,NA,NA,NA,NA,20.3978,333.391,20.5955,1257.32,20.8123,145.754,21.2377,195.887,21.3605,1309.017,NA,NA,21.5743,478.351,NA,NA,NA,NA,21.9861,245.43,NA,NA,22.7676,158.843,NA,NA,NA,NA,23.2676,53.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.115,78.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.2.8_2021",NA,NA,3.0162,2230.523,3.8828,806.021,NA,NA,NA,NA,NA,NA,NA,NA,11.6183,449.316,NA,NA,NA,NA,NA,NA,13.253,187.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2763,138.055,NA,NA,16.5331,2167.523,NA,NA,NA,NA,NA,NA,NA,NA,17.8711,721.512,17.937,410.511,18.201,181.719,18.4161,356.952,NA,NA,NA,NA,18.982,600.023,19.3705,228.935,19.8846,207.937,NA,NA,NA,NA,20.4484,1158.018,20.6357,1161.845,20.951,237.896,21.2605,566.826,21.3639,730.539,NA,NA,21.572,72.908,NA,NA,NA,NA,21.917,219.959,NA,NA,NA,NA,23.0103,74.662,23.1738,225.009,23.3368,138.348,23.4709,149.609,NA,NA,NA,NA,23.7664,238.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9512,109.249,25.1282,171.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.3.6_2021",NA,NA,3.0193,3788.424,4.241,131.164,NA,NA,NA,NA,NA,NA,NA,NA,11.6181,572.795,NA,NA,NA,NA,NA,NA,13.2499,264.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3173,1095.703,NA,NA,16.5116,1205.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9689,1447.886,18.201,191.413,18.4178,464.044,NA,NA,NA,NA,NA,NA,19.5927,142.008,NA,NA,NA,NA,NA,NA,20.4019,182.068,20.6034,995.598,20.7961,91.385,21.0489,187.664,21.4037,4172.314,NA,NA,NA,NA,NA,NA,NA,NA,21.9809,124.073,NA,NA,NA,NA,NA,NA,NA,NA,23.3345,174.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COVW.2.3_2021",NA,NA,3.0182,1321.569,3.3825,307.897,NA,NA,5.1002,500.823,NA,NA,NA,NA,11.6047,172.397,NA,NA,NA,NA,12.6569,115.888,13.252,652.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3811,2266.636,15.9282,155.645,16.5639,4366.584,NA,NA,NA,NA,NA,NA,NA,NA,17.8886,32882.307,18.0307,120.759,NA,NA,NA,NA,18.5444,3899.306,18.6462,170.304,NA,NA,NA,NA,19.9108,172.083,NA,NA,NA,NA,20.4358,753.792,20.665,3246.678,NA,NA,21.2005,262.225,NA,NA,21.5037,16826.43,NA,NA,NA,NA,21.7026,275.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.121,270.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTWV.2.6_2021",NA,NA,3.0108,5089.097,4.2306,327.76,NA,NA,5.019,74.562,NA,NA,NA,NA,11.6057,340.003,NA,NA,NA,NA,12.6544,197.587,13.2522,875.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2865,196.584,15.9278,536.763,16.5558,4672.983,16.6537,102.443,NA,NA,NA,NA,NA,NA,17.834,107.428,17.9449,725.182,18.2117,549.156,18.4047,118.574,18.5971,192.484,NA,NA,18.9102,102.711,19.4415,298.412,19.8736,179.259,NA,NA,NA,NA,20.4893,1393.843,20.5846,830.618,NA,NA,21.1681,220.338,21.3402,233.074,NA,NA,21.5763,612.669,NA,NA,NA,NA,22.0087,221.082,NA,NA,NA,NA,22.9961,124.268,23.1598,136.712,23.3204,110.943,23.4558,59.092,NA,NA,NA,NA,23.7599,246.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1197,273.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.2.3_2021",NA,NA,3.0154,9346.135,4.232,186.268,NA,NA,5.0313,2414.553,NA,NA,NA,NA,11.6011,395.129,NA,NA,NA,NA,NA,NA,13.2409,622.021,13.6969,129.883,NA,NA,NA,NA,NA,NA,NA,NA,15.3259,1668.598,15.8456,67.559,16.4961,981.402,16.6715,156.466,NA,NA,NA,NA,17.3787,4637.873,NA,NA,17.9471,680.278,18.2147,641.552,18.4651,1947.346,NA,NA,NA,NA,NA,NA,19.4778,376.733,NA,NA,NA,NA,NA,NA,20.4285,526.465,20.6825,5109.818,NA,NA,21.2653,214.806,21.4012,3688.008,NA,NA,21.5812,116.203,NA,NA,NA,NA,21.9231,204.747,22.3164,84.099,22.7817,354.898,22.9964,70.007,23.1627,168.791,23.2766,93.697,23.4612,173.652,NA,NA,NA,NA,23.7548,172.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9801,78.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.3.8_2021",NA,NA,3.0191,6706.571,4.2365,256.822,NA,NA,NA,NA,NA,NA,NA,NA,11.6271,1518.453,NA,NA,NA,NA,NA,NA,NA,NA,13.7124,87.654,NA,NA,NA,NA,NA,NA,NA,NA,15.2922,633.957,15.7254,171.857,16.4919,884.724,16.6711,203.55,NA,NA,17.2308,627.895,NA,NA,NA,NA,17.9812,2005.299,18.2153,490.453,18.4002,218.607,NA,NA,NA,NA,NA,NA,19.585,173.557,NA,NA,NA,NA,NA,NA,20.4243,1179.416,20.5819,465.706,20.8053,151.919,21.2263,310.108,21.337,385.218,NA,NA,NA,NA,NA,NA,NA,NA,21.9794,186.398,NA,NA,NA,NA,NA,NA,NA,NA,23.3332,220.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.6_2021",NA,NA,3.0102,9527.422,4.2308,571.353,4.8604,204.378,NA,NA,NA,NA,NA,NA,11.6117,837.94,11.9608,102.25,12.1594,168.177,12.6611,696.876,13.2843,3049.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4463,299.342,15.7472,349.685,16.4858,287.448,16.6758,139.472,NA,NA,NA,NA,17.3751,4346.766,NA,NA,17.9319,264.266,18.2028,419.542,18.4186,309.451,NA,NA,NA,NA,18.9075,143.758,19.4844,186.708,NA,NA,NA,NA,NA,NA,20.2633,211.434,20.5337,2777.569,20.7754,12617.542,21.1785,223.775,21.3422,557.966,NA,NA,NA,NA,NA,NA,NA,NA,21.9169,149.087,NA,NA,NA,NA,22.9975,111.69,23.1621,249.838,23.3303,129.9,23.4583,97.263,NA,NA,NA,NA,23.737,118.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9301,68.909,25.1211,433.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
