SampleID,Paired,Garden Plant ID,2020 STATUS,Project,Location,Subspecies,Year,Plant,Ploidy,Subsp_ploidy,Patch,Date,Veg_Type,Collection,DNA Concentration (ng/uL),Description,Plant Group,Site,Latitude,Longitude,Elevation (m)
AHM20032,,,,Soda_Fire,ROCK,Wyoming,2020,64,NA,NA,103H,29-May-20,Remnant,Unclean,39.8,AHM20032,,,,,
AHM20033,,,,Soda_Fire,ROCK,Wyoming,2020,65,NA,NA,103H,29-May-20,Remnant,Unclean,28.1,AHM20033,,,,,
AHM20034,,,,Soda_Fire,ROCK,Wyoming,2020,66,NA,NA,103H,29-May-20,Remnant,Unclean,33,AHM20034,,,,,
AHM20035,,,,Soda_Fire,ROCK,Wyoming,2020,57,NA,NA,103H,29-May-20,Remnant_New_Growth,Unclean,63.1,AHM20035,,,,,
AHM20036,,,,Soda_Fire,ROCK,Wyoming,2020,58,NA,NA,103H,29-May-20,Remnant_New_Growth,Unclean,57.5,AHM20036,,,,,
AHM20037,,,,Soda_Fire,ROCK,Wyoming,2020,59,NA,NA,103H,29-May-20,Remnant_New_Growth,Unclean,57.1,AHM20037,,,,,
AHM20038,,,,Soda_Fire,ROCK,Wyoming,2020,60,NA,NA,103H,29-May-20,Remnant_New_Growth,Unclean,54.9,AHM20038,,,,,
AHM20039,,,,Soda_Fire,ROCK,Wyoming,2020,61,NA,NA,103H,29-May-20,Remnant_New_Growth,Unclean,49.6,AHM20039,,,,,
AHM20040,,,,Soda_Fire,ROCK,Wyoming,2020,52,NA,NA,103H,29-May-20,New,Unclean,40.7,AHM20040,,,,,
AHM20041,,,,Soda_Fire,ROCK,Wyoming,2020,53,NA,NA,103H,29-May-20,New,Unclean,44,AHM20041,,,,,
AHM20042,,,,Soda_Fire,ROCK,Wyoming,2020,54,NA,NA,103H,29-May-20,New,Unclean,44.6,AHM20042,,,,,
AHM20043,,,,Soda_Fire,ROCK,Wyoming,2020,55,NA,NA,103H,29-May-20,New,Unclean,50.1,AHM20043,,,,,
AHM20044,,,,Soda_Fire,ROCK,Wyoming,2020,56,NA,NA,103H,29-May-20,New,Unclean,20.2,AHM20044,,,,,
AHM20045,,,,Soda_Fire,ROCK,Dwarf,2020,72,NA,NA,103L,29-May-20,New,Unclean,25.1,AHM20045,,,,,
AHM20046,,,,Soda_Fire,ROCK,Dwarf,2020,73,NA,NA,103L,29-May-20,New,Unclean,30.9,AHM20046,,,,,
AHM20047,,,,Soda_Fire,ROCK,Dwarf,2020,74,NA,NA,103L,29-May-20,New,Unclean,14.2,AHM20047,,,,,
AHM20048,,,,Soda_Fire,ROCK,Dwarf,2020,75,NA,NA,103L,29-May-20,New,Unclean,15.1,AHM20048,,,,,
AHM20049,,,,Soda_Fire,ROCK,Dwarf,2020,76,NA,NA,103L,29-May-20,New,Unclean,24.9,AHM20049,,,,,
AHM20050,,,,Soda_Fire,ROCK,Dwarf,2020,84,NA,NA,103L,29-May-20,Remnant,Unclean,74.2,AHM20050,,,,,
AHM20051,,,,Soda_Fire,ROCK,Dwarf,2020,85,NA,NA,103L,29-May-20,Remnant,Unclean,57.8,AHM20051,,,,,
AHM20052,,,,Soda_Fire,ROCK,Dwarf,2020,86,NA,NA,103L,29-May-20,Remnant,Unclean,51.4,AHM20052,,,,,
AHM20053,,,,Soda_Fire,ROCK,Dwarf,2020,87,NA,NA,103L,29-May-20,Remnant,Unclean,64.6,AHM20053,,,,,
AHM20054,,,,Soda_Fire,ROCK,Dwarf,2020,88,NA,NA,103L,29-May-20,Remnant,Unclean,48.4,AHM20054,,,,,
AHM20055,,,,Soda_Fire,ROCK,Wyoming,2020,67,NA,NA,103L,29-May-20,New,Unclean,18,AHM20055,,,,,
AHM20056,,,,Soda_Fire,ROCK,Wyoming,2020,68,NA,NA,103L,29-May-20,New,Unclean,30,AHM20056,,,,,
AHM20057,,,,Soda_Fire,ROCK,Wyoming,2020,69,NA,NA,103L,29-May-20,New,Unclean,32.5,AHM20057,,,,,
AHM20058,,,,Soda_Fire,ROCK,Wyoming,2020,70,NA,NA,103L,29-May-20,New,Unclean,37.2,AHM20058,,,,,
AHM20059,,,,Soda_Fire,ROCK,Wyoming,2020,71,NA,NA,103L,29-May-20,New,Unclean,25.3,AHM20059,,,,,
AHM20060,,,,Soda_Fire,ROCK,Wyoming,2020,79,NA,NA,103L,29-May-20,Remnant,Unclean,64.5,AHM20060,,,,,
AHM20061,,,,Soda_Fire,ROCK,Wyoming,2020,80,NA,NA,103L,29-May-20,Remnant,Unclean,67,AHM20061,,,,,
AHM20062,,,,Soda_Fire,ROCK,Wyoming,2020,81,NA,NA,103L,29-May-20,Remnant,Unclean,80.8,AHM20062,,,,,
AHM20063,,,,Soda_Fire,ROCK,Wyoming,2020,82,NA,NA,103L,29-May-20,Remnant,Unclean,81.3,AHM20063,,,,,
AHM20064,,,,Soda_Fire,ROCK,Wyoming,2020,83,NA,NA,103L,29-May-20,Remnant,Unclean,86.2,AHM20064,,,,,
AHM20065,,,,Soda_Fire,ROCK,Wyoming,2020,77,NA,NA,103L,29-May-20,Remnant_New_Growth,Unclean,36.4,AHM20065,,,,,
AHM20066,,,,Soda_Fire,ROCK,Wyoming,2020,78,NA,NA,103L,29-May-20,Remnant_New_Growth,Unclean,49.9,AHM20066,,,,,
AHM20092,,,,Soda_Fire,RRO,Dwarf,2020,106,NA,NA,101,28-May-20,Remnant,Unclean,16.5,AHM20092,,,,,
AHM20093,,,,Soda_Fire,RRO,Dwarf,2020,107,NA,NA,101,28-May-20,Remnant,Unclean,14.4,AHM20093,,,,,
AHM20094,,,,Soda_Fire,RRO,Dwarf,2020,108,NA,NA,101,28-May-20,Remnant,Unclean,33.7,AHM20094,,,,,
AHM20095,,,,Soda_Fire,RRO,Dwarf,2020,109,NA,NA,101,28-May-20,Remnant,Unclean,36,AHM20095,,,,,
AHM20096,,,,Soda_Fire,RRO,Dwarf,2020,110,NA,NA,101,28-May-20,Remnant,Unclean,59.9,AHM20096,,,,,
AHM20097,,,,Soda_Fire,RRO,Wyoming,2020,89,NA,NA,101,28-May-20,New,Unclean,30.8,AHM20097,,,,,
AHM20098,,,,Soda_Fire,RRO,Dwarf,2020,94,NA,NA,101,28-May-20,New,Unclean,42,AHM20098,,,,,
AHM20099,,,,Soda_Fire,RRO,Wyoming,2020,90,NA,NA,101,28-May-20,New,Unclean,44.6,AHM20099,,,,,
AHM20100,,,,Soda_Fire,RRO,Wyoming,2020,91,NA,NA,101,28-May-20,New,Unclean,64.5,AHM20100,,,,,
AHM20101,,,,Soda_Fire,RRO,Wyoming,2020,92,NA,NA,101,28-May-20,New,Unclean,77.8,AHM20101,,,,,
AHM20102,,,,Soda_Fire,RRO,Wyoming,2020,93,NA,NA,101,28-May-20,New,Unclean,74.7,AHM20102,,,,,
AHM20103,,,,Soda_Fire,RRO,Dwarf,2020,95,NA,NA,101,28-May-20,New,Unclean,74.8,AHM20103,,,,,
AHM20104,,,,Soda_Fire,RRO,Dwarf,2020,96,NA,NA,101,28-May-20,New,Unclean,75.8,AHM20104,,,,,
AHM20105,,,,Soda_Fire,RRO,Dwarf,2020,97,NA,NA,101,28-May-20,New,Unclean,63.8,AHM20105,,,,,
AHM20106,,,,Soda_Fire,RRO,Dwarf,2020,98,NA,NA,101,28-May-20,New,Unclean,57.4,AHM20106,,,,,
AHM20107,,,,Soda_Fire,RRO,Wyoming,2020,99,NA,NA,101,28-May-20,Remnant_New_Growth,Unclean,73,AHM20107,,,,,
AHM20108,,,,Soda_Fire,RRO,Wyoming,2020,104,NA,NA,101,28-May-20,Remnant,Unclean,29.8,AHM20108,,,,,
AHM20109,,,,Soda_Fire,RRO,Wyoming,2020,105,NA,NA,101,28-May-20,Remnant,Unclean,35.8,AHM20109,,,,,
AHM20110,,,,Soda_Fire,RRO,Wyoming,2020,100,NA,NA,101,28-May-20,Remnant_New_Growth,Unclean,63.9,AHM20110,,,,,
AHM20111,,,,Soda_Fire,RRO,Wyoming,2020,101,NA,NA,101,28-May-20,Remnant_New_Growth,Unclean,67.9,AHM20111,,,,,
AHM20112,,,,Soda_Fire,RRO,Wyoming,2020,102,NA,NA,101,28-May-20,Remnant_New_Growth,Unclean,42.2,AHM20112,,,,,
AHM20113,,,,Soda_Fire,RRO,Wyoming,2020,103,NA,NA,101,28-May-20,Remnant_New_Growth,Unclean,15.3,AHM20113,,,,,
AHM20114,,,,Soda_Fire,RRO,Wyoming,2020,121,NA,NA,101H,25-May-20,Remnant_New_Growth,Unclean,77.7,AHM20114,,,,,
AHM20115,,,,Soda_Fire,RRO,Wyoming,2020,122,NA,NA,101H,25-May-20,Remnant_New_Growth,Unclean,77.8,AHM20115,,,,,
AHM20116,,,,Soda_Fire,RRO,Wyoming,2020,123,NA,NA,101H,25-May-20,Remnant_New_Growth,Unclean,71.9,AHM20116,,,,,
AHM20117,,,,Soda_Fire,RRO,Wyoming,2020,124,NA,NA,101H,25-May-20,Remnant_New_Growth,Unclean,103.6,AHM20117,,,,,
AHM20118,,,,Soda_Fire,RRO,Wyoming,2020,125,NA,NA,101H,25-May-20,Remnant_New_Growth,Unclean,88.4,AHM20118,,,,,
AHM20119,,,,Soda_Fire,RRO,Wyoming,2020,126,NA,NA,101H,25-May-20,Remnant,Unclean,46.8,AHM20119,,,,,
AHM20120,,,,Soda_Fire,RRO,Wyoming,2020,127,NA,NA,101H,25-May-20,Remnant,Unclean,73.8,AHM20120,,,,,
AHM20121,,,,Soda_Fire,RRO,Wyoming,2020,128,NA,NA,101H,25-May-20,Remnant,Unclean,80.6,AHM20121,,,,,
AHM20122,,,,Soda_Fire,RRO,Wyoming,2020,129,NA,NA,101H,25-May-20,Remnant,Unclean,70.9,AHM20122,,,,,
AHM20123,,,,Soda_Fire,RRO,Wyoming,2020,130,NA,NA,101H,25-May-20,Remnant,Unclean,72.9,AHM20123,,,,,
AHM20124,,,,Soda_Fire,RRO,Dwarf,2020,116,NA,NA,101H,25-May-20,New,Unclean,107.9,AHM20124,,,,,
AHM20125,,,,Soda_Fire,RRO,Dwarf,2020,117,NA,NA,101H,25-May-20,New,Unclean,76.7,AHM20125,,,,,
AHM20126,,,,Soda_Fire,RRO,Dwarf,2020,118,NA,NA,101H,25-May-20,New,Unclean,53.4,AHM20126,,,,,
AHM20127,,,,Soda_Fire,RRO,Dwarf,2020,119,NA,NA,101H,25-May-20,New,Unclean,63.8,AHM20127,,,,,
AHM20128,,,,Soda_Fire,RRO,Dwarf,2020,120,NA,NA,101H,25-May-20,New,Unclean,62.7,AHM20128,,,,,
AHM20129,,,,Soda_Fire,RRO,Wyoming,2020,111,NA,NA,101H,25-May-20,New,Unclean,51.9,AHM20129,,,,,
AHM20130,,,,Soda_Fire,RRO,Wyoming,2020,112,NA,NA,101H,25-May-20,New,Unclean,75.1,AHM20130,,,,,
AHM20131,,,,Soda_Fire,RRO,Wyoming,2020,113,NA,NA,101H,25-May-20,New,Unclean,58.6,AHM20131,,,,,
AHM20132,,,,Soda_Fire,RRO,Wyoming,2020,114,NA,NA,101H,25-May-20,New,Unclean,71.7,AHM20132,,,,,
AHM20133,,,,Soda_Fire,RRO,Wyoming,2020,115,NA,NA,101H,25-May-20,New,Unclean,95.4,AHM20133,,,,,
AHM20134,,,,Soda_Fire,RRO,Wyoming,2020,131,NA,NA,101L,28-May-20,New,Unclean,90.6,AHM20134,,,,,
AHM20135,,,,Soda_Fire,RRO,Wyoming,2020,132,NA,NA,101L,28-May-20,New,Unclean,75,AHM20135,,,,,
AHM20136,,,,Soda_Fire,RRO,Dwarf,2020,136,NA,NA,101L,28-May-20,New,Unclean,49.3,AHM20136,,,,,
AHM20137,,,,Soda_Fire,RRO,Wyoming,2020,137,NA,NA,101L,28-May-20,Remnant_New_Growth,Unclean,67.6,AHM20137,,,,,
AHM20138,,,,Soda_Fire,RRO,Wyoming,2020,133,NA,NA,101L,28-May-20,New,Unclean,77.5,AHM20138,,,,,
AHM20139,,,,Soda_Fire,RRO,Wyoming,2020,134,NA,NA,101L,28-May-20,New,Unclean,54.9,AHM20139,,,,,
AHM20140,,,,Soda_Fire,RRO,Dwarf,2020,145,NA,NA,101L,28-May-20,Remnant,Unclean,62.8,AHM20140,,,,,
AHM20141,,,,Soda_Fire,RRO,Wyoming,2020,142,NA,NA,101L,28-May-20,Remnant,Unclean,49.3,AHM20141,,,,,
