"Plant","C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073","C074"
"MTW.1.2",NA,2792.733,214.236,NA,NA,NA,NA,407.696,NA,103.757,519.128,1021.269,NA,NA,NA,NA,NA,NA,779.05,197.185,13448.179,NA,NA,NA,NA,320.381,431.472,NA,284.441,NA,93.599,228.893,NA,NA,NA,1603.733,6967.275,79.545,484.12,826.181,NA,NA,1403.986,NA,161.547,NA,NA,135.79,214.703,54.716,105.464,NA,NA,231.046,NA,NA,NA,NA,NA,157.488,392.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.3.4",NA,3480.45,118.016,NA,435.177,NA,NA,379.618,NA,NA,608.564,NA,NA,NA,NA,NA,NA,428.147,NA,206.818,222.573,NA,NA,NA,NA,1675.06,311.423,151.132,NA,NA,NA,146.13,NA,NA,NA,563.712,NA,144.854,78.411,254.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COVW.2.7",NA,2065.638,120.665,NA,415.721,NA,NA,724.082,NA,162.884,927.575,2382.554,NA,100.309,NA,NA,NA,216.98,570.622,280.047,15582.903,NA,NA,NA,NA,370.755,368.648,NA,216.955,NA,84.462,NA,133.922,NA,NA,145.439,NA,11842.026,590.617,1209.846,NA,NA,1287.808,NA,298.936,89.781,174.666,NA,NA,NA,NA,NA,NA,364.048,NA,NA,NA,NA,NA,NA,106.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.2.4",NA,5336.865,NA,NA,1212.86,NA,NA,758.319,NA,NA,NA,1508.046,NA,NA,NA,NA,NA,1058.999,154.248,3766.896,101.632,NA,NA,4103.94,NA,644.255,592.617,394.298,NA,NA,NA,539.827,NA,NA,NA,185.001,6443.18,170.838,148.759,507.484,NA,227.591,NA,NA,245.36,77.16,456.078,1171.682,75.319,67.32,74.441,NA,NA,176.336,NA,NA,NA,NA,NA,NA,71.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.1.9",NA,7470.65,147.717,NA,1203.885,NA,NA,1709.296,NA,131.082,228.182,449.773,100.791,NA,NA,121.411,NA,2084.621,442.902,4788.852,131.689,NA,NA,4605.612,NA,1021.665,1100.695,1738.704,135.269,NA,NA,541.109,153.511,NA,NA,273.786,4717.438,NA,570.07,NA,7372.214,NA,394.935,NA,76.776,233.619,516.012,162.175,173.156,72.448,129.389,NA,NA,128.112,NA,NA,NA,NA,NA,NA,124.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.2",NA,9886.513,261.011,NA,NA,NA,NA,2185.338,NA,129.068,NA,NA,192.807,NA,NA,117.977,NA,1200.371,494.12,4016.031,146.399,NA,NA,8445.534,NA,1210.56,1389.373,435.425,NA,NA,NA,644.183,NA,NA,NA,562.628,582.468,272.896,408.853,801.263,NA,200.664,NA,NA,368.111,NA,155.972,1654.307,NA,59.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAT.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.6",NA,10147.929,309.634,NA,NA,NA,NA,1458.132,NA,216.811,NA,322.047,200.535,NA,NA,111.204,NA,1521.287,485.436,NA,100.765,NA,NA,9801.085,NA,336.455,1174.936,1215.067,NA,NA,NA,672.019,84.331,NA,NA,598.028,1563.571,87.499,408.702,1091.207,NA,321.731,NA,NA,207.254,NA,NA,NA,174.841,103.633,98.063,NA,NA,170.402,NA,NA,NA,NA,NA,NA,72.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.1.6",NA,60.461,206.688,NA,NA,197.231,NA,1170.247,NA,NA,265.433,407.039,170.784,NA,NA,NA,NA,1440.37,1212.011,3046.4,143.087,NA,NA,8940.324,324.907,1715.53,971.448,1155.2,NA,NA,287.212,131.837,NA,NA,NA,240.195,4148.552,106.035,783.999,NA,6348.331,NA,NA,NA,1498.854,149.71,NA,NA,172.453,84.761,163.694,NA,NA,85.659,NA,146.996,NA,NA,NA,NA,101.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORV.1.10",NA,3454.726,198.716,495.021,NA,NA,NA,1046.776,NA,231.326,365.615,2258.85,NA,140.456,NA,145.926,NA,151.619,157.897,3627.649,NA,NA,NA,NA,NA,513.15,322.518,NA,NA,NA,89.945,165.316,148.084,NA,NA,137.953,2371.966,16221.829,310.061,1252.295,NA,232.001,NA,NA,130.58,NA,155.428,119.162,112.124,76.726,NA,NA,NA,701.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAW.1.2",NA,4227.835,370.595,NA,481.259,NA,NA,764.632,NA,215.325,117.883,576.622,NA,NA,5840.044,NA,NA,170.993,174.23,2285.747,106.464,NA,NA,NA,NA,834.81,306.896,NA,NA,NA,139.194,415.284,209.966,NA,NA,2047.588,499.298,411.752,508.518,NA,NA,321.14,NA,NA,170.317,NA,213.051,117.809,193.411,95.808,79.793,NA,NA,208.39,NA,NA,NA,NA,NA,NA,100.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.3.9",NA,18655.679,198.85,NA,NA,NA,NA,3346.747,NA,NA,296.632,441.113,170.674,146.536,NA,NA,NA,1872.735,1256.433,4804.414,190.467,NA,NA,NA,816.392,1230.338,886.324,3145.84,142.354,NA,374.046,176.213,109.295,NA,NA,883.988,3668.189,77.606,1124.056,NA,9406.436,NA,NA,NA,1366.949,200.048,77.759,122.45,458.434,92.737,352.511,NA,NA,170.252,NA,88.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NVTW.1.10",NA,5762.229,161.667,NA,NA,NA,NA,956.37,NA,145.585,NA,588.831,113.202,NA,NA,NA,NA,1737.853,290.375,1660.523,111.531,NA,NA,NA,NA,598.351,941.923,615.695,NA,NA,NA,655.962,114.234,NA,NA,190.57,4072.33,122.058,279.167,2505.806,NA,171.948,NA,NA,235.468,NA,108.743,70.002,78.939,79.615,56.533,NA,NA,176.897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAT.2.4",NA,2656.284,137.566,NA,NA,NA,NA,195.209,NA,NA,NA,331.306,NA,NA,NA,NA,NA,374.706,180.96,2765.057,NA,NA,NA,NA,NA,212.733,370.499,93.178,NA,NA,NA,96.446,NA,NA,NA,211.041,1527.979,497.423,NA,302.173,117.512,300.883,NA,NA,NA,NA,NA,NA,NA,181.774,NA,NA,NA,393.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.3",NA,3689.593,188.875,NA,NA,NA,NA,193.627,NA,NA,NA,975.169,NA,NA,NA,NA,NA,429.666,117.4,2650.747,NA,NA,NA,NA,NA,260.09,121.834,156.445,NA,NA,NA,NA,NA,NA,NA,553.133,3627.05,652.815,70.108,144.222,NA,154.991,NA,NA,NA,NA,NA,NA,NA,110.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTWV.2.10",NA,4760.549,361.391,827.053,NA,NA,NA,328.121,NA,217.054,1464.645,4388.7,NA,NA,NA,NA,NA,NA,248.374,3707.206,97.408,NA,638.986,NA,NA,808.113,247.634,NA,93.599,NA,98.976,217.065,262.657,NA,NA,150.364,2229.733,141.912,915.328,869.657,NA,305.528,NA,NA,326.838,NA,NA,225.452,155.49,63.876,57.421,NA,NA,312.531,NA,NA,NA,NA,NA,NA,208.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORW.1.1",NA,10309.772,221.019,607.244,NA,NA,NA,2823.459,NA,183.122,152.907,486.065,161.066,NA,5731.926,NA,NA,865.555,230.349,NA,152.163,NA,NA,3770.515,NA,2218.671,945.009,399.637,88.794,NA,177.79,457.732,NA,NA,NA,1803.284,457.542,150.681,398.834,374.072,NA,354.699,NA,NA,526.153,NA,NA,84.385,190.908,131.49,101.614,NA,NA,88.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.6",NA,9527.422,571.353,204.378,NA,NA,NA,837.94,102.25,168.177,696.876,3049.809,NA,NA,NA,NA,NA,299.342,349.685,287.448,139.472,NA,NA,4346.766,NA,264.266,419.542,309.451,NA,NA,143.758,186.708,NA,NA,NA,211.434,2777.569,12617.542,223.775,557.966,NA,NA,NA,NA,149.087,NA,NA,111.69,249.838,129.9,97.263,NA,NA,118.259,NA,NA,NA,NA,NA,68.909,433.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
