"","C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073"
"IDW.3.2_2012",162.712,1722.405,0,0,514.61,0,0,0,2307.035,0,0,0,0,0,3676.845,0,0,225.127,0,0,206.549,0,0,4382.072,973.531,0,263.343,559.834,469.598,121.342,119.162,0,0,0,0,0,1507.202,696.472,0,192.976,87.228,192.354,0,0,0,0,0,268.091,93.247,253.018,0,0,0,87.133,0,107.428,0,0,0,0,0,0,0,177.432,0,0,94.684,0,0,0,0,0,0
"IDW.3.4_2012",615.025,2075.274,0,0,0,0,0,0,431.893,0,0,0,1459.919,0,1227.551,0,0,274.746,0,0,0,0,0,3418.782,161.611,0,648.922,443.307,287.143,146.387,0,135.597,0,0,0,0,626.362,95.522,839.372,237.419,88.242,0,355.393,0,128.134,0,0,255.571,0,101.358,0,144.923,73.507,0,0,0,0,0,0,0,0,0,0,163.443,0,0,0,106.295,0,0,0,0,0
"IDW.3.4_2021",3480.45,118.016,0,435.177,0,0,379.618,0,0,608.564,0,0,0,0,0,0,428.147,0,206.818,222.573,0,0,0,0,1675.06,311.423,151.132,0,0,0,146.13,0,0,0,563.712,0,144.854,78.411,254.435,0,0,0,0,0,0,0,0,0,212.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDW.3.6_2012",619.073,3445.348,0,0,0,0,0,0,2548.163,0,0,145.867,0,0,480.571,0,0,454.007,0,0,1388.784,0,0,3243.94,107.513,0,160.526,574.423,451.288,240.549,0,183.184,0,184.083,0,0,257.42,751.772,719.786,265.884,0,99.811,740.734,129.485,0,0,0,398.682,0,0,0,157.071,0,0,0,0,0,0,0,0,0,0,0,305.898,0,0,142.745,0,0,0,0,0,0
"IDW.3.6_2021",3788.424,131.164,0,0,0,0,572.795,0,0,0,264.369,0,0,0,0,0,1095.703,0,1205.618,0,0,0,0,0,1447.886,191.413,464.044,0,0,0,142.008,0,0,0,182.068,995.598,91.385,187.664,4172.314,0,0,0,0,124.073,0,0,0,0,174.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDW.3.8_2012",624.541,3456,0,0,631.778,0,0,0,1750.641,0,0,0,0,0,983.024,0,0,255.284,0,0,315.178,0,0,5018.684,1071.03,0,361.185,215.963,244.141,173.507,0,0,151.741,0,0,0,914.354,0,887.105,201.384,0,106.515,432.864,94.113,0,0,0,397.596,96.506,388.415,0,155.441,161.793,0,0,80.173,0,0,0,0,0,0,0,763.608,0,0,156.04,95.473,0,0,0,0,0
"IDW.3.8_2021",6706.571,256.822,0,0,0,0,1518.453,0,0,0,0,87.654,0,0,0,0,633.957,171.857,884.724,203.55,0,627.895,0,0,2005.299,490.453,218.607,0,0,0,173.557,0,0,0,1179.416,465.706,151.919,310.108,385.218,0,0,0,0,186.398,0,0,0,0,220.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTT.1.6_2012",329.2,3593.697,0,0,1137.169,388.485,0,0,917.579,0,0,0,1758.527,0,3494.37,0,0,465.786,0,0,181.721,0,0,4906.051,2282.346,0,675.968,236.898,218.837,509.472,90.481,0,202.483,0,0,237.727,2374.782,0,948.566,469.145,0,0,3830.164,0,0,0,117.139,194.027,189.193,760.491,55.746,50.122,460.728,0,0,219.921,0,0,0,0,164.264,82.239,0,223.588,0,95.464,103.895,212.532,0,0,0,0,0
"MTV.1.10_2012",791.165,0,0,0,0,0,0,0,0,368.186,2919.82,7728.833,0,0,542.157,0,294.698,0,365.319,0,0,12999.651,0,0,583.145,0,202.91,0,0,157.896,0,0,0,0,0,0,0,27817.169,0,0,503.333,0,508.971,730.362,352.713,0,0,0,0,0,0,0,0,0,0,240.573,0,0,0,0,0,0,0,212.272,0,131.786,105.743,0,0,0,0,0,0
"MTW.1.2_2012",678.529,2467.639,0,0,460.327,0,0,198.065,401.978,0,531.07,1337.15,0,0,4587.028,0,0,0,330.89,179.833,12695.224,0,0,192.112,1089.034,0,161.593,402.651,328.222,121.383,0,0,0,182.135,0,0,1270.824,6592.971,0,324.765,379.17,0,509.474,911.034,104.109,0,0,411.742,89.143,184.324,0,0,201.97,0,0,110.564,0,0,0,0,0,265.674,0,0,0,0,108.922,0,0,0,0,0,0
"MTW.1.2_2021",2792.733,214.236,0,0,0,0,407.696,0,103.757,519.128,1021.269,0,0,0,0,0,0,779.05,197.185,13448.179,0,0,0,0,320.381,431.472,0,284.441,0,93.599,228.893,0,0,0,1603.733,6967.275,79.545,484.12,826.181,0,0,1403.986,0,161.547,0,0,135.79,214.703,54.716,105.464,0,0,231.046,0,0,0,0,0,157.488,392.239,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTW.1.7_2012",620.085,1294.72,0,0,0,0,0,0,1017.19,0,617.121,2142.559,0,0,3902.043,0,0,0,0,160.459,6377.122,0,0,0,564.212,0,161.266,162.371,0,0,0,0,0,148.802,0,0,1260.759,8891.673,0,216.507,310.388,77.153,428.357,468.806,112.366,0,0,263.473,0,118.478,0,0,126.316,0,0,199.935,0,0,0,0,0,234.854,0,0,0,0,100.969,0,0,0,0,0,0
"MTW.3.4_2012",528.136,1616.041,0,0,0,0,0,0,766.749,0,0,499.752,481.176,0,4077.057,0,0,0,119.99,0,4841.937,0,0,303.699,1008.181,0,337.374,142.151,0,205.999,0,0,0,0,0,0,1258.377,1789.649,0,265.713,0,0,577.026,406.946,0,0,0,335.284,95.488,199.636,0,0,0,153.415,0,54.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
