"","Paired","Garden Plant ID","2020 STATUS","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description","Plant Group","Site","Latitude","Longitude","Elevation (m)","cluster_assignments"
"IDW.1.8_2012",FALSE,101,"D","OCG","ID","W","2012","IDW.1.8","4n","W_4n",NA,NA,NA,NA,19.2,"IDW.1.8_2012","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963,3
"IDW.2.2_2012",FALSE,357,"A","OCG","ID","W","2012","IDW.2.2","4n","W_4n",NA,NA,NA,NA,21.5,"IDW.2.2_2012","IDW-2","Orchard Enclosure ",43.3274,-116.0037,977,2
"IDW.2.3_2012",TRUE,60,"A","OCG","ID","W","2012","IDW.2.3","4n","W_4n",NA,NA,NA,NA,NA,"IDW.2.3_2012","IDW-2","Orchard Enclosure ",43.3274,-116.0037,977,3
"IDW.3.10_2012",TRUE,233,"A","OCG","ID","W","2012","IDW.3.10","4n","W_4n",NA,NA,NA,NA,13.1,"IDW.3.10_2012","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870,2
"IDW.3.2_2012",FALSE,235,"D","OCG","ID","W","2012","IDW.3.2","4n","W_4n",NA,NA,NA,NA,24.3,"IDW.3.2_2012","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870,2
"IDW.3.4_2012",TRUE,372,"A","OCG","ID","W","2012","IDW.3.4","4n","W_4n",NA,NA,NA,NA,14.4,"IDW.3.4_2012","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870,5
"IDW.3.6_2012",TRUE,70,"A","OCG","ID","W","2012","IDW.3.6","4n","W_4n",NA,NA,NA,NA,10.1,"IDW.3.6_2012","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870,5
"IDW.3.8_2012",TRUE,93,"A","OCG","ID","W","2012","IDW.3.8","4n","W_4n",NA,NA,NA,NA,26.3,"IDW.3.8_2012","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870,5
"MTT.1.6_2012",TRUE,172,"A","OCG","MT","T","2012","MTT.1.6","2n","T_2n",NA,NA,NA,NA,18.2,"MTT.1.6_2012","MTT-1","Bridger Crk",45.2056,-108.8256,1240,2
"MTV.1.10_2012",FALSE,374,"D","OCG","MT","V","2012","MTV.1.10","2n","V_2n",NA,NA,NA,NA,16.8,"MTV.1.10_2012","MTV-1","Tie Flat Rd",45.1724,-108.4559,2156,4
"MTW.1.2_2012",TRUE,366,"A","OCG","MT","W","2012","MTW.1.2","4n","W_4n",NA,NA,NA,NA,8.7,"MTW.1.2_2012","MTW-1","Powderville",45.6545,-105.1545,972,1
"MTW.1.7_2012",FALSE,17,"D","OCG","MT","W","2012","MTW.1.7","4n","W_4n",NA,NA,NA,NA,NA,"MTW.1.7_2012","MTW-1","Powderville",45.6545,-105.1545,972,4
"MTW.3.4_2012",TRUE,166,"A","OCG","MT","W","2012","MTW.3.4","4n","W_4n",NA,NA,NA,NA,NA,"MTW.3.4_2012","MTW-3","Pryor Mtn",45.2066,-108.7832,1458,5
"MTW.3.7_2012",FALSE,417,"D","OCG","MT","W","2012","MTW.3.7","4n","W_4n",NA,NA,NA,NA,10.7,"MTW.3.7_2012","MTW-3","Pryor Mtn",45.2066,-108.7832,1458,5
"MTW.3.8_2012",FALSE,425,"D","OCG","MT","W","2012","MTW.3.8","2n","T_2n",NA,NA,NA,NA,NA,"MTW.3.8_2012","MTW-3","Pryor Mtn",45.2066,-108.7832,1458,1
