"","Paired","Garden Plant ID","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description"
"ORV.1.10_2012",TRUE,403,"OCG","OR","V","2012","ORV.1.10","4n","V_4n",NA,NA,NA,NA,20.3,"ORV.1.10_2012"
"ORV.1.10_2021",TRUE,403,"OCG","OR","V","2021","ORV.1.10","4n","V_4n",NA,NA,NA,NA,67.7,"ORV.1.10_2021"
"ORV.1.3_2012",FALSE,183,"OCG","OR","V","2012","ORV.1.3","4n","V_4n",NA,NA,NA,NA,26.6,"ORV.1.3_2012"
"ORV.1.4_2012",FALSE,245,"OCG","OR","V","2012","ORV.1.4","4n","V_4n",NA,NA,NA,NA,6.9,"ORV.1.4_2012"
"ORV.1.6_2012",FALSE,314,"OCG","OR","V","2012","ORV.1.6","4n","V_4n",NA,NA,NA,NA,15.7,"ORV.1.6_2012"
"ORV.1.8_2012",FALSE,186,"OCG","OR","V","2012","ORV.1.8","4n","V_4n",NA,NA,NA,NA,17.6,"ORV.1.8_2012"
"ORW.1.1_2021",FALSE,57,"OCG","OR","W","2021","ORW.1.1","4n","W_4n",NA,NA,NA,NA,47.1,"ORW.1.1_2021"
"UTT.1.1_2012",TRUE,333,"OCG","UT","T","2012","UTT.1.1","2n","T_2n",NA,NA,NA,NA,10.2,"UTT.1.1_2012"
"UTT.1.1_2021",TRUE,333,"OCG","UT","T","2021","UTT.1.1","2n","T_2n",NA,NA,NA,NA,65.9,"UTT.1.1_2021"
"UTT.1.5_2012",TRUE,25,"OCG","UT","T","2012","UTT.1.5","2n","T_2n",NA,NA,NA,NA,11.1,"UTT.1.5_2012"
"UTT.1.6_2012",TRUE,294,"OCG","UT","T","2012","UTT.1.6","2n","T_2n",NA,NA,NA,NA,75.1,"UTT.1.6_2012"
"UTT.1.6_2021",TRUE,294,"OCG","UT","T","2021","UTT.1.6","2n","T_2n",NA,NA,NA,NA,93.2,"UTT.1.6_2021"
"UTT.1.8_2012",FALSE,20,"OCG","UT","T","2012","UTT.1.8","2n","T_2n",NA,NA,NA,NA,17.9,"UTT.1.8_2012"
"UTT.1.9_2021",TRUE,194,"OCG","UT","T","2021","UTT.1.9","2n","T_2n",NA,NA,NA,NA,48.7,"UTT.1.9_2021"
"UTT.3.10_2012",FALSE,338,"OCG","UT","T","2012","UTT.3.10","2n","T_2n",NA,NA,NA,NA,40.9,"UTT.3.10_2012"
"UTT.3.3_2012",FALSE,409,"OCG","UT","T","2012","UTT.3.3","2n","T_2n",NA,NA,NA,NA,24.5,"UTT.3.3_2012"
"UTV.1.7_2012",FALSE,421,"OCG","UT","V","2012","UTV.1.7","2n","V_2n",NA,NA,NA,NA,24.7,"UTV.1.7_2012"
"UTV.3.4_2012",FALSE,281,"OCG","UT","V","2012","UTV.3.4","4n","V_4n",NA,NA,NA,NA,17.8,"UTV.3.4_2012"
"UTV.3.5_2012",TRUE,6,"OCG","UT","V","2012","UTV.3.5","4n","V_4n",NA,NA,NA,NA,18,"UTV.3.5_2012"
"UTV.3.5_2021",TRUE,6,"OCG","UT","V","2021","UTV.3.5","4n","V_4n",NA,NA,NA,NA,58.5,"UTV.3.5_2021"
"UTW.1.1_2012",FALSE,296,"OCG","UT","W","2012","UTW.1.1","4n","W_4n",NA,NA,NA,NA,16.3,"UTW.1.1_2012"
"UTW.1.10_2021",FALSE,272,"OCG","UT","W","2021","UTW.1.10","4n","W_4n",NA,NA,NA,NA,77,"UTW.1.10_2021"
"UTW.2.10_2012",FALSE,84,"OCG","UT","W","2012","UTW.2.10","4n","W_4n",NA,NA,NA,NA,14.4,"UTW.2.10_2012"
"UTW.2.3_2021",FALSE,343,"OCG","UT","W","2021","UTW.2.3","4n","W_4n",NA,NA,NA,NA,88.4,"UTW.2.3_2021"
"UTW.2.6_2012",FALSE,157,"OCG","UT","W","2012","UTW.2.6","4n","W_4n",NA,NA,NA,NA,13.4,"UTW.2.6_2012"
"UTWV.2.1_2012",TRUE,189,"OCG","UT","W","2012","UTWV.2.1","4n","W_4n",NA,NA,NA,NA,15.5,"UTWV.2.1_2012"
"UTWV.2.10_2021",FALSE,56,"OCG","UT","W","2021","UTWV.2.10","4n","W_4n",NA,NA,NA,NA,36.2,"UTWV.2.10_2021"
"UTWV.2.7_2012",TRUE,271,"OCG","UT","W","2012","UTWV.2.7","4n","W_4n",NA,NA,NA,NA,14.9,"UTWV.2.7_2012"
"UTWV.2.7_2021",TRUE,271,"OCG","UT","W","2021","UTWV.2.7","4n","W_4n",NA,NA,NA,NA,100.7,"UTWV.2.7_2021"
"UTWV.2.8_2012",TRUE,216,"OCG","UT","W","2012","UTWV.2.8","4n","W_4n",NA,NA,NA,NA,18.7,"UTWV.2.8_2012"
"WAT.1.3_2021",TRUE,349,"OCG","WA","T","2021","WAT.1.3","2n","T_2n",NA,NA,NA,NA,103.3,"WAT.1.3_2021"
"WAT.1.4_2012v1",TRUE,304,"OCG","WA","T","2012","WAT.1.4","2n","T_2n",NA,NA,NA,NA,15.2,"WAT.1.4_2012"
"WAT.1.4_2021",TRUE,304,"OCG","WA","T","2021","WAT.1.4","2n","T_2n",NA,NA,NA,NA,96.7,"WAT.1.4_2021"
"WAT.1.6_2012",TRUE,192,"OCG","WA","T","2012","WAT.1.6","2n","T_2n",NA,NA,NA,NA,20.2,"WAT.1.6_2012"
"WAT.1.6_2021",TRUE,192,"OCG","WA","T","2021","WAT.1.6","2n","T_2n",NA,NA,NA,NA,27,"WAT.1.6_2021"
"WAT.1.9_2012v1",TRUE,195,"OCG","WA","T","2012","WAT.1.9","2n","T_2n",NA,NA,NA,NA,24.5,"WAT.1.9_2012"
"WAT.1.9_2021",TRUE,195,"OCG","WA","T","2021","WAT.1.9","2n","T_2n",NA,NA,NA,NA,92.4,"WAT.1.9_2021"
"WAT.2.1_2021",TRUE,158,"OCG","WA","T","2021","WAT.2.1","4n","T_4n",NA,NA,NA,NA,146.7,"WAT.2.1_2021"
"WAT.2.3_2012",FALSE,10,"OCG","WA","T","2012","WAT.2.3","4n","T_4n",NA,NA,NA,NA,19.6,"WAT.2.3_2012"
"WAT.2.4_2012",TRUE,268,"OCG","WA","T","2012","WAT.2.4","4n","T_4n",NA,NA,NA,NA,83.2,"WAT.2.4_2012"
"WAT.2.4_2021",TRUE,268,"OCG","WA","T","2021","WAT.2.4","4n","T_4n",NA,NA,NA,NA,43.5,"WAT.2.4_2021"
"WAT.2.7_2012",FALSE,282,"OCG","WA","T","2012","WAT.2.7","4n","T_4n",NA,NA,NA,NA,71.1,"WAT.2.7_2012"
"WAT.2.8_2012v2",TRUE,64,"OCG","WA","T","2012","WAT.2.8","4n","T_4n",NA,NA,NA,NA,21.6,"WAT.2.8_2012"
"WAW.1.1_2012",FALSE,287,"OCG","WA","W","2012","WAW.1.1","4n","W_4n",NA,NA,NA,NA,15.8,"WAW.1.1_2012"
"WAW.1.2_2012",TRUE,418,"OCG","WA","W","2012","WAW.1.2","4n","W_4n",NA,NA,NA,NA,0.1,"WAW.1.2_2012"
"WAW.1.2_2021",TRUE,418,"OCG","WA","W","2021","WAW.1.2","4n","W_4n",NA,NA,NA,NA,130.6,"WAW.1.2_2021"
"WAW.1.3_2012",TRUE,356,"OCG","WA","W","2012","WAW.1.3","4n","W_4n",NA,NA,NA,NA,20.7,"WAW.1.3_2012"
"WAW.1.3_2021",TRUE,356,"OCG","WA","W","2021","WAW.1.3","4n","W_4n",NA,NA,NA,NA,117.6,"WAW.1.3_2021"
"WAW.1.4_2012",FALSE,436,"OCG","WA","W","2012","WAW.1.4","4n","W_4n",NA,NA,NA,NA,0,"WAW.1.4_2012"
"WAW.1.5_2012",FALSE,378,"OCG","WA","W","2012","WAW.1.5","4n","W_4n",NA,NA,NA,NA,16.4,"WAW.1.5_2012"
"WAW.1.6_2012",TRUE,135,"OCG","WA","W","2012","WAW.1.6","4n","W_4n",NA,NA,NA,NA,15.2,"WAW.1.6_2012"
"WAW.1.6_2021",TRUE,135,"OCG","WA","W","2021","WAW.1.6","4n","W_4n",NA,NA,NA,NA,65.4,"WAW.1.6_2021"
"WAW.1.7_2012",FALSE,236,"OCG","WA","W","2012","WAW.1.7","4n","W_4n",NA,NA,NA,NA,17.9,"WAW.1.7_2012"
