"Garden Plant ID","C002","C003","C006","C007","C008","C010","C012","C013","C014","C016","C018","C019","C020","C021","C022","C025","C026","C028","C029","C030","C031","C032","C033","C034","C035","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C048","C049","C050","C051","C052","C053","C054","C055","C057","C063","C065","C067","C068","C069"
135,25.83979328,62851.98966,25.83979328,25.83979328,25.83979328,35781.86047,9985.322997,70050.74935,25.83979328,277171.6279,25.83979328,25.83979328,7001.860465,25.83979328,297383.5659,13124.13437,46643.61757,25.83979328,4360.103359,4594.521964,25.83979328,4430.387597,25.83979328,25.83979328,25.83979328,25.83979328,106449.1473,337748.8372,25.83979328,18306.56331,5284.496124,6660.723514,8371.782946,26507.3385,25.83979328,25.83979328,22201.91214,4035.555556,6103.359173,25.83979328,25.83979328,7302.377261,25.83979328,25.83979328,7224.134367,19280.10336,9100.310078,6057.51938,25.83979328
138,20237.35099,37534.43709,22.07505519,22.07505519,22.07505519,16487.77042,22.07505519,13587.37307,66740,132138.5872,22.07505519,77749.88962,5731.258278,22.07505519,242467.8146,42153.42163,22.07505519,25895.84989,4333.024283,4066.622517,147940.9713,22.07505519,22.07505519,22.07505519,22.07505519,22.07505519,57109.53642,38555.58499,22.07505519,11924.06181,22.07505519,22.07505519,153544.9448,20145.16556,6719.205298,22.07505519,11653.73068,22.07505519,3137.969095,22.07505519,22.07505519,3330.816777,22.07505519,22.07505519,22.07505519,5111.125828,22.07505519,22.07505519,22.07505519
150,22.172949,22.172949,22.172949,22.172949,22.172949,24257.25055,22.172949,32393.74723,22.172949,29567.40576,22.172949,22.172949,7076.895787,22.172949,190356.0089,22.172949,11308.91353,22.172949,22.172949,22.172949,22.172949,349722.7051,22.172949,22.172949,46463.72506,22.172949,22.172949,127323.592,22.172949,64671.48559,22.172949,22.172949,18190.46563,19077.8714,22.172949,22.172949,22.172949,3165.631929,22.172949,22.172949,22.172949,45938.04878,22.172949,22.172949,22.172949,15473.65854,22.172949,12464.61197,22.172949
157,27726.95842,135102.4508,23879.29978,21.88183807,21.88183807,99878.20569,8649.015317,42799.5186,21.88183807,240848.884,21.88183807,11956.41138,7947.221007,21.88183807,207727.1335,97713.69803,48238.0744,21.88183807,19370.15317,16079.34354,5663.282276,4881.838074,21.88183807,5178.993435,7611.772429,21.88183807,92690.59081,240428.4026,22344.24508,14921.96937,21.88183807,5296.367615,16444.9453,17089.40919,21.88183807,4700.612691,18047.92123,5025.382932,12958.33698,21.88183807,21.88183807,6443.982495,21.88183807,5506.695842,3115.798687,16671.85996,21.88183807,6520.743982,21.88183807
164,20205.05595,63329.4654,21101.98923,20.72109407,20.72109407,11322.21301,20.72109407,60493.24492,20.72109407,68421.09407,20.72109407,6113.800249,20.72109407,20.72109407,16330.12847,43054.66225,22277.37257,4965.685868,4417.61293,20.72109407,20.72109407,20.72109407,20.72109407,20.72109407,20.72109407,20.72109407,34868.91836,273039.453,7152.921674,20.72109407,5059.303771,11322.95897,20.72109407,20.72109407,20.72109407,20.72109407,20.72109407,20.72109407,4441.732283,20.72109407,20.72109407,4339.162868,20.72109407,4122.295897,9103.60547,36082.71861,15276.37795,46537.83672,20.72109407
177,17319.33492,23.75296912,23.75296912,23.75296912,23.75296912,31667.55344,147010.8789,34464.46556,23.75296912,85528.97862,6559.334917,23.75296912,8172.019002,23.75296912,312345.7007,23.75296912,25987.74347,23.75296912,23.75296912,23.75296912,23.75296912,23.75296912,23.75296912,23.75296912,23.75296912,23.75296912,4861.900238,113445.1306,23.75296912,29465.22565,23.75296912,23.75296912,9710.688836,25661.18765,10195.77197,23.75296912,23786.12827,5380.427553,4513.586698,23.75296912,23.75296912,23.75296912,23.75296912,23.75296912,3700.665083,21011.44893,6522.660333,6799.477435,23.75296912
181,174534.5217,201773.4783,27617.78261,12776.21739,21791.26087,45544.73913,21.73913043,43365.56522,21.73913043,30731.43478,21.73913043,25842,21.73913043,21.73913043,73958.69565,139029.3478,8967.26087,21.73913043,31619.6087,25164.30435,13130.86957,21.73913043,21.73913043,6122.478261,8105.434783,21.73913043,10008.21739,3766,28202.91304,6335.695652,3210.130435,21.73913043,29796.82609,8339.086957,5907.73913,21.73913043,25103.56522,21.73913043,6658.826087,21.73913043,7425.652174,7093.956522,21.73913043,13224.26087,21.73913043,25250.30435,4428.695652,5195.130435,21.73913043
185,27995.19231,42970.32343,21.85314685,21.85314685,21.85314685,27590.34091,13366.38986,69401.44231,17877.31643,149043.5315,21.85314685,21.85314685,5363.636364,21.85314685,6709.178322,42882.69231,62096.72203,24200.61189,9070.804196,8566.346154,21.85314685,21.85314685,21.85314685,21.85314685,10970.1049,21.85314685,15958.87238,3821.328671,21.85314685,7909.877622,21.85314685,21.85314685,19481.25,21.85314685,21.85314685,21.85314685,21.85314685,3510.096154,10702.70979,21.85314685,21.85314685,4411.232517,21.85314685,2248.557692,21.85314685,20758.61014,21.85314685,11822.9021,9953.321678
186,12961.93159,72779.55734,24031.26761,11704.34608,20.12072435,48741.40845,18350.78471,110051.2676,27895.0503,131147.3642,20.12072435,20.12072435,20.12072435,20.12072435,66772.43461,80704.26559,93046.15694,44721.36821,7820.402414,6735.452716,20.12072435,3946.438632,20.12072435,20.12072435,7474.004024,20.12072435,62718.71227,341061.8511,20.12072435,8486.881288,7922.977867,20.12072435,12453.8833,4643.098592,4788.933602,20.12072435,4534.205231,3765.674044,13390.78471,20.12072435,20.12072435,5905.714286,20.12072435,3974.688129,3101.086519,21707.7666,6122.293763,10346.27767,14331.67002
189,30917.77232,64739.63964,20.47502048,20.47502048,20.47502048,20.47502048,6910.11466,31700.94185,20.47502048,65263.02211,20.47502048,20.47502048,5540.00819,20.47502048,204278.665,15414.12776,13967.15807,5943.980344,5275.511876,20.47502048,20.47502048,20.47502048,20.47502048,20.47502048,20.47502048,20.47502048,19136.85504,173814.2097,20.47502048,4589.80344,20.47502048,11066.46192,20.47502048,22002.3751,20.47502048,20.47502048,19596.8059,20.47502048,20.47502048,20.47502048,20.47502048,20.47502048,20.47502048,6710.647011,7874.897625,25278.86978,20.47502048,11193.36609,20.47502048
